breaks_program,circuit,compiler_label,eta,head,layer,pred_changed,selector_hit
False,CKT_0029,unused,2.292873175555528e-18,11,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,12,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,13,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,14,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,15,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,16,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,17,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,18,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,19,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,20,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,21,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,22,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,23,3,False,1.0
True,CKT_0032,passthrough,8.636569109656761e-17,0,0,False,0.8586956521739131
True,CKT_0032,passthrough,3.085036459348506e-05,1,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,2,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,3,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,4,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,5,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,6,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,7,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,8,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,9,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,10,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,11,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,12,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,13,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,14,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,15,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,16,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,17,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,18,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,19,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,20,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,21,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,22,0,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,23,0,False,1.0
False,CKT_0032,lookup,8.636569109656761e-17,0,1,False,1.0
False,CKT_0032,lookup,8.636569109656761e-17,1,1,False,1.0
True,CKT_0032,lookup,0.022055560347543874,2,1,False,1.0
True,CKT_0032,lookup,0.258647918910013,3,1,False,1.0
False,CKT_0032,lookup,8.636569109656761e-17,4,1,True,1.0
True,CKT_0032,passthrough,1.5423819314581496e-05,5,1,False,0.967391304347826
False,CKT_0032,passthrough,8.636569109656761e-17,6,1,False,1.0
True,CKT_0032,passthrough,0.001549233590774348,7,1,True,1.0
True,CKT_0032,passthrough,0.12568095046040578,8,1,True,0.8695652173913043
False,CKT_0032,unused,8.636569109656761e-17,9,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,10,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,11,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,12,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,13,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,14,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,15,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,16,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,17,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,18,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,19,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,20,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,21,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,22,1,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,23,1,False,1.0
True,CKT_0032,lookup,0.10937009393300548,0,2,True,1.0
True,CKT_0032,lookup,0.014677630908639976,1,2,True,1.0
True,CKT_0032,lookup,1.0,2,2,True,1.0
True,CKT_0032,passthrough,1.542341454999414e-05,3,2,False,1.0
True,CKT_0032,passthrough,0.0030436954769494273,4,2,True,1.0
True,CKT_0032,passthrough,0.001518121133510927,5,2,True,1.0
False,CKT_0032,unused,8.636569109656761e-17,6,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,7,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,8,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,9,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,10,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,11,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,12,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,13,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,14,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,15,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,16,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,17,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,18,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,19,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,20,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,21,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,22,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,23,2,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,0,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,1,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,2,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,3,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,4,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,5,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,6,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,7,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,8,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,9,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,10,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,11,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,12,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,13,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,14,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,15,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,16,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,17,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,18,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,19,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,20,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,21,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,22,3,False,1.0
False,CKT_0032,unused,8.636569109656761e-17,23,3,False,1.0
True,CKT_0036,passthrough,5.877049300328271e-17,0,0,False,0.8586956521739131
True,CKT_0036,passthrough,0.0004753866290675102,1,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,2,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,3,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,4,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,5,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,6,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,7,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,8,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,9,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,10,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,11,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,12,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,13,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,14,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,15,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,16,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,17,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,18,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,19,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,20,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,21,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,22,0,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,23,0,False,1.0
False,CKT_0036,lookup,5.877049300328271e-17,0,1,False,1.0
False,CKT_0036,lookup,5.877049300328271e-17,1,1,False,1.0
True,CKT_0036,lookup,1.0,2,1,False,1.0
False,CKT_0036,lookup,5.877049300328271e-17,3,1,False,1.0
False,CKT_0036,passthrough,5.877049300328271e-17,4,1,False,1.0
False,CKT_0036,passthrough,5.877049300328271e-17,5,1,False,1.0
True,CKT_0036,passthrough,0.004616030214015946,6,1,False,0.8695652173913043
False,CKT_0036,unused,5.877049300328271e-17,7,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,8,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,9,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,10,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,11,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,12,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,13,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,14,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,15,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,16,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,17,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,18,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,19,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,20,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,21,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,22,1,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,23,1,False,1.0
True,CKT_0036,lookup,0.004616030214015946,0,2,False,1.0
True,CKT_0036,lookup,0.00187651400561817,1,2,False,1.0
True,CKT_0036,lookup,0.0027598868089850556,2,2,False,1.0
False,CKT_0036,lookup,5.877049300328271e-17,3,2,False,1.0
True,CKT_0036,passthrough,0.003664182615503694,4,2,False,1.0
False,CKT_0036,passthrough,5.877049300328271e-17,5,2,False,1.0
True,CKT_0036,passthrough,0.056616181394423745,6,2,False,1.0
True,CKT_0036,passthrough,0.033041615223922856,7,2,True,1.0
False,CKT_0036,unused,5.877049300328271e-17,8,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,9,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,10,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,11,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,12,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,13,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,14,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,15,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,16,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,17,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,18,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,19,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,20,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,21,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,22,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,23,2,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,0,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,1,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,2,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,3,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,4,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,5,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,6,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,7,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,8,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,9,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,10,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,11,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,12,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,13,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,14,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,15,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,16,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,17,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,18,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,19,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,20,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,21,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,22,3,False,1.0
False,CKT_0036,unused,5.877049300328271e-17,23,3,False,1.0
True,CKT_0043,passthrough,3.761857903115259e-17,0,0,False,0.8857142857142857
True,CKT_0043,passthrough,1.2853367094693309e-05,1,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,2,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,3,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,4,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,5,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,6,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,7,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,8,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,9,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,10,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,11,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,12,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,13,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,14,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,15,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,16,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,17,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,18,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,19,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,20,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,21,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,22,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,23,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,24,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,25,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,26,0,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,27,0,False,1.0
False,CKT_0043,lookup,3.761857903115259e-17,0,1,False,1.0
False,CKT_0043,lookup,3.761857903115259e-17,1,1,False,1.0
True,CKT_0043,lookup,0.2546264303834247,2,1,True,1.0
True,CKT_0043,lookup,0.11681632659544555,3,1,False,1.0
False,CKT_0043,lookup,3.761857903115259e-17,4,1,False,1.0
False,CKT_0043,lookup,3.761857903115259e-17,5,1,True,1.0
True,CKT_0043,passthrough,1.5627484547771787e-06,6,1,False,1.0
True,CKT_0043,passthrough,1.562763513586171e-06,7,1,False,1.0
True,CKT_0043,passthrough,3.761857903115259e-17,8,1,False,0.9892857142857143
False,CKT_0043,passthrough,3.761857903115259e-17,9,1,False,1.0
True,CKT_0043,passthrough,0.0051450484575310835,10,1,True,0.8392857142857143
False,CKT_0043,unused,3.761857903115259e-17,11,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,12,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,13,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,14,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,15,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,16,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,17,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,18,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,19,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,20,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,21,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,22,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,23,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,24,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,25,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,26,1,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,27,1,False,1.0
True,CKT_0043,lookup,0.004254781372662747,0,2,True,1.0
True,CKT_0043,lookup,0.0019563759068181065,1,2,True,1.0
True,CKT_0043,lookup,0.005020979236347721,2,2,True,1.0
True,CKT_0043,lookup,1.0,3,2,True,1.0
True,CKT_0043,passthrough,0.0003311374609612538,4,2,True,1.0
False,CKT_0043,passthrough,3.761857903115259e-17,5,2,False,1.0
True,CKT_0043,passthrough,0.009399117583458697,6,2,True,1.0
False,CKT_0043,unused,3.761857903115259e-17,7,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,8,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,9,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,10,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,11,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,12,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,13,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,14,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,15,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,16,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,17,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,18,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,19,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,20,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,21,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,22,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,23,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,24,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,25,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,26,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,27,2,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,0,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,1,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,2,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,3,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,4,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,5,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,6,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,7,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,8,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,9,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,10,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,11,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,12,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,13,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,14,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,15,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,16,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,17,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,18,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,19,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,20,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,21,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,22,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,23,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,24,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,25,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,26,3,False,1.0
False,CKT_0043,unused,3.761857903115259e-17,27,3,False,1.0
True,CKT_0047,passthrough,5.348319039019464e-17,0,0,False,0.8857142857142857
True,CKT_0047,passthrough,1.5450637281679352e-05,1,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,2,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,3,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,4,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,5,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,6,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,7,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,8,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,9,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,10,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,11,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,12,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,13,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,14,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,15,0,False,1.0
False,CKT_0047,unused,5.348319039019464e-17,16,0,False,1.0
