L,n_heads,n_queries,dense_vectorized_s,dense_batched_s,hull_cpp_s,standard_shipped_s,dense_loop_vs_batched_agree,standard_shipped_us_per_query,dense_vectorized_us_per_query,dense_batched_us_per_query,hull_cpp_us_per_query
100,8,200,0.00440120798884891,0.00028908299282193184,0.001577875023940578,0.006342835957184434,1.0,31.714179785922166,22.00603994424455,1.4454149641096592,7.8893751197028905
300,8,200,0.005221458995947614,0.0007805420027580112,0.0016146669804584235,0.0109968320466578,1.0,54.984160233289,26.10729497973807,3.902710013790056,8.073334902292117
1000,8,200,0.010078958002850413,0.0029647079936694354,0.0016614999913144857,0.030984663986600935,1.0,154.92331993300468,50.39479001425207,14.823539968347177,8.307499956572428
3000,8,200,0.02138162500341423,0.010384207998868078,0.0018458749982528389,0.08759833208750933,1.0,437.99166043754667,106.90812501707114,51.92103999434039,9.229374991264194
10000,8,200,0.05435466699418612,0.03457116600475274,0.0022687909950036556,0.28565783600788563,1.0,1428.2891800394282,271.7733349709306,172.8558300237637,11.343954975018278
30000,8,200,0.18249329199898057,0.072290583018912,0.00248979200841859,1.0840683319838718,1.0,5420.341659919359,912.4664599949028,361.45291509456,12.44896004209295
100000,8,200,0.5693226670264266,0.38750329200411215,0.0032262080057989806,nan,1.0,nan,2846.613335132133,1937.5164600205608,16.131040028994903
