circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0043,4,248.6630748157478,4,7.6841,7.6840591378178535,7.7,0.015900000000000247,0.01594086218214663,4.086218214638393e-05,3.019806626980426e-14,True,False,4,0
CKT_0044,4,16.376734226914213,4,0.0798,0.07975337231739488,0.1,0.02020000000000001,0.02024662768260513,4.6627682605118737e-05,1.3877787807814457e-17,True,False,4,0
CKT_0045,4,7.994342739957051,4,3.0,3.00001917018289,3.0,0.0,1.9170182889993725e-05,1.9170182889993725e-05,8.881784197001252e-16,True,False,4,0
CKT_0046,4,38.46241131813778,5,0.0352,0.035229197012779004,0.05,0.0148,0.014770802987220999,2.919701277900172e-05,2.0816681711721685e-17,True,False,4,0
CKT_0047,4,51.99589964240473,5,3.2289,3.2289448600966777,3.25,0.02110000000000012,0.021055139903322306,4.486009667781232e-05,1.3322676295501878e-15,True,False,4,0
CKT_0048,4,17.687632315667024,5,1.5197,1.5196560946282271,1.5,0.01970000000000005,0.01965609462822715,4.390537177290099e-05,0.0,True,False,4,0
CKT_0049,4,15.879228118419952,5,0.9619,0.9619313813708279,0.95,0.011900000000000022,0.011931381370827943,3.138137082792092e-05,0.0,True,False,4,0
CKT_0050,2,2.073340761067938,3,1.782,1.782017154687962,1.8,0.018000000000000016,0.017982845312038087,1.715468796192887e-05,0.0,True,False,2,0
CKT_0051,2,1.267630668814927,3,2.0162,2.0162192578862004,2.0,0.016199999999999992,0.016219257886200378,1.92578862003856e-05,0.0,True,False,2,0
CKT_0052,2,26.55991735662942,3,1.4137,1.4137062077443148,1.4,0.013700000000000045,0.013706207744314858,6.207744314812302e-06,2.220446049250313e-16,True,False,2,0
CKT_0053,2,19.40450211782102,3,1.2977,1.297653080976882,1.3,0.0022999999999999687,0.0023469190231180104,4.6919023118041636e-05,0.0,True,False,2,0
CKT_0054,2,3.2713373783710207,3,2.1968,2.1968046383902053,2.2,0.0032000000000000917,0.0031953616097948334,4.638390205258247e-06,0.0,True,False,2,0
