circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V,truth_V,abs_error,pass_fail,lu_build_s,lu_infer_s,readout_build_s,infer_s,n_tokens,tx1_cache,tx2_cache,build_status,error
CKT_0001,Basic,3,1,2,2,2.9500,2.9333,0.0167,PASS,0.000,1.832,0.349,0.011,10,hull,hull,built,
CKT_0002,Basic,3,1,2,2,8.1500,8.1633,0.0133,PASS,0.000,1.882,0.339,0.009,10,hull,hull,built,
CKT_0003,Basic,3,1,2,2,4.9500,4.9287,0.0213,PASS,0.000,1.882,0.363,0.009,10,hull,hull,built,
CKT_0004,Basic,3,1,2,2,3.9000,3.9208,0.0208,PASS,0.000,1.855,0.403,0.009,10,hull,hull,built,
CKT_0005,Basic,3,1,2,2,0.5000,0.5213,0.0213,PASS,0.000,1.865,0.294,0.007,10,hull,hull,built,
CKT_0006,Basic,3,1,2,2,14.7000,14.6797,0.0203,PASS,0.000,1.852,0.349,0.009,10,hull,hull,built,
CKT_0007,Basic,3,1,2,2,3.0500,3.0712,0.0212,PASS,0.000,1.875,0.371,0.007,10,hull,hull,built,
CKT_0008,Basic,3,1,2,2,1.5500,1.5349,0.0151,PASS,0.000,1.928,0.300,0.008,10,hull,hull,built,
CKT_0009,Basic,3,1,2,2,4.8500,4.8526,0.0026,PASS,0.000,1.829,0.366,0.010,10,hull,hull,built,
CKT_0010,Basic,3,1,2,2,7.5500,7.534,0.0160,PASS,0.000,1.790,0.363,0.009,10,hull,hull,built,
CKT_0011,Basic,3,1,2,2,8.0000,7.9758,0.0242,PASS,0.000,1.903,0.431,0.010,10,hull,hull,built,
CKT_0012,Basic,3,1,2,2,10.4500,10.4681,0.0181,PASS,0.000,1.834,0.362,0.009,10,hull,hull,built,
CKT_0013,Basic,3,1,2,2,0.1000,0.109,0.0090,PASS,0.000,1.875,0.325,0.007,10,hull,hull,built,
CKT_0014,Basic,3,1,2,2,7.2500,7.2644,0.0144,PASS,0.000,1.893,0.330,0.008,10,hull,hull,built,
CKT_0015,Basic,4,2,2,3,2.8500,2.8571,0.0071,PASS,0.000,1.821,0.433,0.010,12,hull,hull,built,
CKT_0016,Basic,4,2,2,3,4.8500,4.8316,0.0184,PASS,0.000,1.907,0.307,0.008,12,hull,hull,built,
CKT_0017,Basic,4,2,2,3,0.1000,0.1047,0.0047,PASS,0.000,1.853,0.312,0.008,12,hull,hull,built,
CKT_0018,Basic,4,2,2,3,8.9000,8.9241,0.0241,PASS,0.000,1.869,0.404,0.010,12,hull,hull,built,
