circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0017,Basic,4,2,2,3,0.1000,0.1000,0.1000,0.1047,0.0047,PASS,18,0.70,0.02,4,38,built,PASS,
CKT_0018,Basic,4,2,2,3,8.9000,8.9000,8.9000,8.9241,0.0241,PASS,18,0.48,0.02,4,38,built,PASS,
CKT_0019,Basic,4,2,2,3,1.7000,1.7000,1.7000,1.7068,0.0068,PASS,18,0.61,0.03,4,38,built,PASS,
CKT_0020,Basic,4,2,2,3,0.3000,0.3000,0.3000,0.3189,0.0189,PASS,18,0.59,0.03,4,38,built,PASS,
CKT_0021,Basic,4,2,2,3,1.6500,1.6500,1.6500,1.6444,0.0056,PASS,18,0.51,0.04,4,38,built,PASS,
CKT_0022,Basic,4,2,2,3,0.1000,0.1000,0.1000,0.0973,0.0027,PASS,18,0.57,0.02,4,38,built,PASS,
CKT_0023,Intermediate,4,2,2,3,9.0000,9.0000,9.0000,8.9947,0.0053,PASS,18,0.59,0.03,4,38,built,PASS,
CKT_0024,Intermediate,4,2,2,3,0.0500,0.0500,0.0500,0.0577,0.0077,PASS,18,0.58,0.02,4,38,built,PASS,
CKT_0025,Intermediate,4,2,2,3,0.0500,0.0500,0.0500,0.0484,0.0016,PASS,18,0.65,0.03,4,38,built,PASS,
CKT_0026,Intermediate,4,1,3,3,11.4500,11.4500,11.4500,11.4624,0.0124,PASS,15,0.53,0.02,4,42,built,PASS,
CKT_0027,Intermediate,4,1,3,3,7.0000,7.0000,7.0000,7.0,0.0000,PASS,15,0.57,0.02,4,42,built,PASS,
CKT_0028,Intermediate,4,1,3,3,14.2000,14.2000,14.2000,14.1795,0.0205,PASS,15,0.61,0.01,4,42,built,PASS,
CKT_0029,Intermediate,5,3,2,4,0.1500,0.1500,0.1500,0.1592,0.0092,PASS,23,0.96,0.11,4,48,built,PASS,
CKT_0030,Intermediate,5,3,2,4,5.2000,5.2000,5.2000,5.1848,0.0152,PASS,23,0.80,0.05,4,48,built,PASS,
CKT_0031,Intermediate,5,3,2,4,3.1500,3.1500,3.1500,3.1534,0.0034,PASS,23,0.79,0.05,4,48,built,PASS,
CKT_0032,Intermediate,5,3,2,4,2.5500,2.5500,2.5500,2.5535,0.0035,PASS,23,0.79,0.05,4,48,built,PASS,
CKT_0033,Intermediate,5,3,2,4,18.8500,18.9000,18.9000,18.8788,0.0288,PASS,23,0.76,0.06,4,48,built,PASS,
CKT_0034,Intermediate,5,3,2,4,4.6500,4.6500,4.6500,4.6738,0.0238,PASS,23,0.83,0.04,4,48,built,PASS,
CKT_0035,Intermediate,5,3,2,4,1.7500,1.7500,1.7500,1.757,0.0070,PASS,23,0.77,0.10,4,48,built,PASS,
CKT_0036,Intermediate,5,3,2,4,0.0000,0.0000,0.0000,0.0082,0.0082,PASS,23,0.98,0.03,4,48,built,PASS,
CKT_0037,Intermediate,5,3,2,4,2.6500,2.6500,2.6500,2.6664,0.0164,PASS,23,0.85,0.02,4,48,built,PASS,
CKT_0038,Intermediate,5,2,3,3,2.8000,2.8000,2.8000,2.7845,0.0155,PASS,20,0.54,0.10,4,42,built,PASS,
CKT_0039,Intermediate,5,2,3,3,18.1500,18.2000,18.2000,18.2062,0.0562,FAIL,20,0.57,0.02,4,42,built,FAIL,
CKT_0040,Intermediate,5,2,3,3,3.2500,3.2500,3.2500,3.2548,0.0048,PASS,20,0.52,0.02,4,42,built,PASS,
CKT_0041,Intermediate,5,2,3,3,4.6500,4.6500,4.6500,4.6532,0.0032,PASS,20,0.55,0.06,4,42,built,PASS,
CKT_0042,Intermediate,6,4,2,4,0.0500,0.0500,0.0500,0.0603,0.0103,PASS,28,0.92,0.08,4,56,built,PASS,
