circuit_id,complexity,N,n_free,failure_mode,rho_M,norm_M_inf,det_IminusM,log_det_abs,mink_log,minkowski_holds,r_stall,r_stall_exceeds_tol,error
CKT_0001,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0002,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0003,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0004,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0005,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0006,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0007,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0008,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0009,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0010,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0011,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0012,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0013,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0014,Basic,3,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0015,Basic,4,2,B_simple,0.5863019699779287,0.6875,0.65625,-0.42121346507630353,-1.3862943611198906,False,0.08,True,
CKT_0016,Basic,4,2,PASS,0.9303926768573121,0.9954751131221719,0.13436946685028525,-2.0071620578761125,-1.3862943611198906,True,5.524999999999884,True,
CKT_0017,Basic,4,2,PASS,0.07603858208721695,0.39999999999999997,0.9942181340341656,-0.005798645662756943,-1.3862943611198906,False,0.041666666666666664,False,
CKT_0018,Basic,4,2,PASS,0.4613700454522158,0.681159420289855,0.7871376811594203,-0.23935210157164857,-1.3862943611198906,False,0.07840909090909089,True,
CKT_0019,Basic,4,2,B_compound,0.9719324322523686,0.9933774834437087,0.055347347135994984,-2.8941265498650965,-1.3862943611198906,True,3.7750000000000443,True,
CKT_0020,Basic,4,2,PASS,0.3478361040194924,0.5202568076156742,0.8790100447405409,-0.1289589538986115,-1.3862943611198906,False,0.052111213659437015,True,
CKT_0021,Basic,4,2,B_compound,0.9703570056168218,0.9900990099009901,0.05840728165035536,-2.840314711126827,-1.3862943611198906,True,2.5249999999999977,True,
CKT_0022,Basic,4,2,PASS,0.5474730870203472,0.9374433363553943,0.7002732189884113,-0.3562847072503867,-1.3862943611198906,False,0.39963768115942006,True,
CKT_0023,Intermediate,4,2,PASS,0.09528503018447368,0.375,0.9909207630227439,-0.009120704435382241,-1.3862943611198906,False,0.04,False,
CKT_0024,Intermediate,4,2,PASS,0.08062903814350733,0.23078698361412414,0.9934989582080529,-0.006522265598713747,-1.3862943611198906,False,0.0325007500750075,False,
CKT_0025,Intermediate,4,2,PASS,0.4258733819432041,0.5863631883685505,0.8186318625522577,-0.20012079245599035,-1.3862943611198906,False,0.06043949497965623,True,
CKT_0026,Intermediate,4,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0027,Intermediate,4,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0028,Intermediate,4,1,PASS,0.0,0.0,1.0,0.0,-0.6931471805599453,False,0.025,False,
CKT_0029,Intermediate,5,3,PASS,0.045175959507539776,0.30555555555555564,0.9983755115030779,-0.0016258094090919862,-2.0794415416798357,False,0.036000000000000004,False,
CKT_0030,Intermediate,5,3,PASS,0.41900600188624926,0.4923076923076923,0.84688541170597,-0.1661898807242932,-2.0794415416798357,False,0.04924242424242425,False,
CKT_0031,Intermediate,5,3,B_compound,0.9015830879793899,0.9968443398932813,0.18773549677228465,-1.672721238872719,-2.0794415416798357,False,7.9222727272725715,True,
CKT_0032,Intermediate,5,3,B_simple,0.7757224321244003,0.909353905496625,0.3983971311807571,-0.9203059541491334,-2.0794415416798357,False,0.27579787234042585,True,
CKT_0033,Intermediate,5,3,PASS,0.6190448523169547,0.8200654307524535,0.6340020727856236,-0.45570305517230036,-2.0794415416798357,False,0.13893939393939386,True,
CKT_0034,Intermediate,5,3,PASS,0.6858891138241521,1.0,0.5295561235375191,-0.6357161260967377,-2.0794415416798357,False,inf,True,
CKT_0035,Intermediate,5,3,B_simple,0.5943228894882788,1.0,0.646780303030303,-0.4357486046954168,-2.0794415416798357,False,inf,True,
CKT_0036,Intermediate,5,3,PASS,0.17717711599906305,1.0,0.9686082695662547,-0.031895011401038904,-2.0794415416798357,False,inf,True,
CKT_0037,Intermediate,5,3,PASS,0.6323142233442028,0.9999999999999999,0.6001787229566182,-0.5105277965265625,-2.0794415416798357,False,225179981368524.8,True,
CKT_0038,Intermediate,5,2,PASS,0.05872483143995141,0.1760299625468165,0.9965513941723493,-0.0034545659754735385,-1.3862943611198906,False,0.030340909090909092,False,
CKT_0039,Intermediate,5,2,B_compound,0.9904053295125191,0.9953219866626855,0.019097283273198488,-3.95820919105151,-1.3862943611198906,True,5.344148936170299,True,
CKT_0040,Intermediate,5,2,PASS,0.1656079411106527,0.6307977736549165,0.9725740098410905,-0.027809103720836083,-1.3862943611198906,False,0.06771356783919598,True,
CKT_0041,Intermediate,5,2,PASS,0.6835149530404587,0.9375,0.5328073089700996,-0.6295954418130753,-1.3862943611198906,False,0.4,True,
CKT_0042,Intermediate,6,4,PASS,0.581194791390911,0.683316539513459,0.6613026230712835,-0.41354371777183446,-2.772588722239781,False,0.07894318181818183,True,
CKT_0043,Intermediate,6,4,B_compound,0.990518411835804,0.9990076083360901,0.018873275814276818,-3.970008335607477,-2.772588722239781,True,25.19166666667099,True,
CKT_0044,Intermediate,6,4,PASS,0.8396394936567644,0.9901088031651829,0.21578382485382636,-1.5334781833054736,-2.772588722239781,False,2.527499999999979,True,
CKT_0045,Intermediate,6,4,PASS,0.582132029964805,0.8607594936708861,0.6127142449522066,-0.4898566100476306,-2.772588722239781,False,0.1795454545454546,True,
CKT_0046,Intermediate,6,4,PASS,0.9472557940961482,0.9985424028268551,0.06624176317732978,-2.7144441512441415,-2.772588722239781,False,17.15151515151529,True,
CKT_0047,Intermediate,6,4,B_simple,0.9459326844135169,0.9970834785814537,0.095651718545287,-2.34704161623912,-2.772588722239781,False,8.571855444305726,True,
CKT_0048,Intermediate,6,4,B_simple,0.8709857767577077,0.9763858650142355,0.2575157425152762,-1.356674424765419,-2.772588722239781,False,1.0586879432624137,True,
CKT_0049,Intermediate,6,4,PASS,0.7925319375896027,0.997766902646458,0.35137280287544703,-1.045907502708617,-2.772588722239781,False,11.19521276595758,True,
CKT_0050,Intermediate,5,2,PASS,0.021058465757133066,0.0303030303030303,0.9995565410199556,-0.0004435573370571529,-1.3862943611198906,False,0.025781250000000002,False,
CKT_0051,Intermediate,5,2,PASS,0.10972596519047129,0.11463414634146342,0.9879602125630195,-0.012112852730358017,-1.3862943611198906,False,0.028236914600550965,False,
CKT_0052,Intermediate,5,2,B_compound,0.9272245734527673,0.9769834200166663,0.14025459038533383,-1.9642960050947411,-1.3862943611198906,True,1.0861735330836495,True,
CKT_0053,Intermediate,5,2,B_compound,0.9011493399834946,0.9856630824372761,0.18792986704731218,-1.6716864333724413,-1.3862943611198906,True,1.7437500000000106,True,
CKT_0054,Intermediate,5,2,PASS,0.1148910973723201,0.20519944433419327,0.9868000357445841,-0.013287858104212036,-1.3862943611198906,False,0.03145443196004994,False,
CKT_0055,Hard,12,7,PASS,0.967479361013934,0.9999900002464225,0.0639836860120698,-2.7491271341779466,-4.852030263919617,False,2500.0616071390186,True,
CKT_0056,Hard,12,8,PASS,0.8863952524468999,0.9999745470517327,0.2069394549271201,-1.5753290167745881,-5.545177444479562,False,982.2044871767695,True,
CKT_0057,Hard,12,7,PASS,0.5848262761938403,0.9860176074572761,0.6579782234882733,-0.41858344320709573,-4.852030263919617,False,1.787962962962969,True,
CKT_0058,Hard,12,8,PASS,0.995371968702003,0.999967680424033,0.009202594703032335,-4.688269801752658,-5.545177444479562,False,773.5250000025994,True,
CKT_0059,Hard,12,7,PASS,0.9999178763996641,0.9999789748010426,0.00016423990094542427,-8.714182388362495,-4.852030263919617,True,1189.0493902405833,True,
CKT_0060,Hard,13,8,B_compound,0.9917848582676125,1.0,0.01505004903367645,-4.196374029740968,-5.545177444479562,False,inf,True,
CKT_0061,Hard,13,10,B_compound,0.9849666087999482,1.0,0.00036394370086730677,-7.918511370236813,-6.931471805599453,True,inf,True,
CKT_0062,Hard,16,11,A_non_convergent,0.9982197644679174,1.0,3.1390111093003086e-06,-12.671602740989883,-7.6246189861593985,True,inf,True,
CKT_0063,Hard,16,12,A_non_convergent,0.9998294810489076,1.0000000000000002,1.4549953306726278e-10,-22.650848238481856,-8.317766166719343,True,inf,True,
CKT_0064,Hard,17,14,A_non_convergent,0.9999120456937559,1.0000000000000002,3.7830995398990805e-08,-17.09013708622388,-9.704060527839234,True,inf,True,
CKT_0065,Hard,11,6,B_compound,0.9434374920747465,1.0,0.10992572511563503,-2.2079503674791163,-4.1588830833596715,False,inf,True,
CKT_0066,Hard,13,8,PASS,0.985660453833569,0.9995468720846549,0.011152262199865025,-4.4961129137747005,-5.545177444479562,False,55.17205882351882,True,
CKT_0067,Hard,11,6,B_simple,0.8542357962197509,0.9999865053724188,0.22780343015928795,-1.4792721703155745,-4.1588830833596715,False,1852.589102563251,True,
