circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0072,Hard,7,2,5,4,1.8000,1.8000,1.8000,1.8,0.0000,PASS,24,4.87,1.43,4,78,built,PASS,
CKT_0073,Hard,8,5,3,5,1.8000,1.8000,1.8000,1.8238,0.0238,PASS,35,12.92,2.80,4,106,built,PASS,
CKT_0074,Hard,7,3,4,4,3.3000,3.3000,3.3000,3.3,0.0000,PASS,27,4.50,2.14,4,88,built,PASS,
CKT_0075,Hard,10,7,3,5,7.1000,7.1000,7.1000,7.1181,0.0181,PASS,45,18.29,3.97,4,126,built,PASS,
CKT_0076,Hard,10,7,3,5,0.9000,0.9000,0.9000,0.906,0.0060,PASS,45,17.83,3.12,4,126,built,PASS,
CKT_0077,Hard,10,7,3,5,9.0000,9.0000,9.0000,9.0,0.0000,PASS,45,16.86,4.65,4,126,built,PASS,
CKT_0078,Hard,10,5,5,5,7.1000,7.1000,7.1000,7.084,0.0160,PASS,39,11.98,2.77,4,106,built,PASS,
CKT_0079,Hard,10,5,5,5,3.3000,3.3000,3.3000,3.3,0.0000,PASS,39,11.18,2.42,4,106,built,PASS,
CKT_0080,Hard,17,12,5,6,4.9500,4.9500,4.9500,4.9311,0.0189,PASS,74,22.32,6.06,4,174,built,PASS,
CKT_0081,Hard,17,11,6,6,4.7000,4.7000,4.7000,4.7176,0.0176,PASS,71,23.66,5.93,4,164,built,PASS,
CKT_0082,Hard,17,12,5,6,2.4000,2.4000,2.4000,2.3987,0.0013,PASS,74,35.78,6.57,4,174,built,PASS,
CKT_0083,Hard,17,12,5,6,15.0000,15.0000,15.0000,14.9996,0.0004,PASS,74,27.53,5.52,4,174,built,PASS,
CKT_0084,Hard,21,17,4,20,14.2500,14.2500,14.2500,14.2707,0.0207,PASS,97,31.33,7.48,4,222,built,PASS,
CKT_0085,Hard,21,16,5,20,2.7500,2.7500,2.7500,2.7688,0.0188,PASS,94,28.91,8.10,4,212,built,PASS,
CKT_0086,Hard,25,19,6,24,4.6500,4.6500,4.6500,4.6575,0.0075,PASS,111,23.33,8.30,4,240,built,PASS,
CKT_0087,Hard,25,20,5,24,20.0500,20.0500,20.0500,20.0725,0.0225,PASS,114,25.55,8.21,4,250,built,PASS,
CKT_0088,Hard,26,21,5,25,4.9500,4.9500,4.9500,4.9738,0.0238,PASS,119,30.24,7.92,4,260,built,PASS,
CKT_0089,Hard,17,11,6,8,3.5000,3.5000,3.5000,3.4927,0.0073,PASS,71,18.46,5.45,4,164,built,PASS,
CKT_0090,Hard,19,13,6,10,4.9500,4.9500,4.9500,4.9572,0.0072,PASS,81,27.32,6.22,4,184,built,PASS,
CKT_0091,Hard,17,12,5,8,13.4000,13.4000,13.4000,13.3976,0.0024,PASS,74,22.90,3.46,4,174,built,PASS,
CKT_0092,Hard,19,13,6,10,15.0500,15.0500,15.0500,15.0485,0.0015,PASS,81,21.62,1.49,4,184,built,PASS,
CKT_0093,Hard,17,13,4,8,10.8500,10.8500,10.8500,10.8352,0.0148,PASS,77,19.63,2.19,4,184,built,PASS,
CKT_0094,Hard,10,6,4,6,4.1500,4.1500,4.1500,4.1475,0.0025,PASS,42,9.18,2.79,4,116,built,PASS,
CKT_0095,Hard,11,5,6,6,1.8000,1.8000,1.8000,1.8,0.0000,PASS,41,7.97,1.38,4,106,built,PASS,
CKT_0096,Hard,10,5,5,6,11.3000,11.3000,11.3000,11.3191,0.0191,PASS,39,11.58,2.58,4,106,built,PASS,
CKT_0097,Hard,11,7,4,6,4.3000,4.3000,4.3000,4.2758,0.0242,PASS,47,15.12,3.26,4,126,built,PASS,
CKT_0098,Hard,10,4,6,6,9.2000,9.2000,9.2000,9.202,0.0020,PASS,36,7.36,2.35,4,96,built,PASS,
CKT_0099,Hard,14,10,4,7,1.8500,1.8500,1.8500,1.8308,0.0192,PASS,62,18.96,2.08,4,154,built,PASS,
CKT_0100,Hard,14,8,6,7,5.0000,5.0000,5.0000,5.0,0.0000,PASS,56,15.01,0.46,4,136,built,PASS,
CKT_0101,Hard,14,9,5,7,2.6500,2.6500,2.6500,2.6478,0.0022,PASS,59,18.27,2.37,4,144,built,PASS,
CKT_0102,Hard,14,8,6,7,10.8500,10.8500,10.8500,10.8656,0.0156,PASS,56,17.15,3.11,4,136,built,PASS,
CKT_0103,Hard,14,8,6,7,8.6500,8.6500,8.6500,8.6457,0.0043,PASS,56,15.19,1.01,4,136,built,PASS,
CKT_0104,Hard,22,18,4,7,15.0000,15.0000,15.0000,15.0,0.0000,PASS,102,20.78,2.79,4,232,built,PASS,
CKT_0105,Hard,22,16,6,7,0.0500,0.0500,0.0500,0.0601,0.0101,PASS,96,29.05,7.10,4,212,built,PASS,
CKT_0106,Hard,22,17,5,7,11.8000,11.8000,11.8000,11.7927,0.0073,PASS,99,25.54,2.82,4,222,built,PASS,
CKT_0107,Hard,31,27,4,30,2.2500,2.2500,2.2500,2.2513,0.0013,PASS,147,60.11,7.03,4,318,built,PASS,
CKT_0108,Hard,31,27,4,30,3.8500,3.8500,3.8500,3.8495,0.0005,PASS,147,72.12,16.72,4,318,built,PASS,
CKT_0109,Hard,36,30,6,35,4.1500,4.1500,4.1500,4.1397,0.0103,PASS,166,106.27,27.08,4,346,built,PASS,
CKT_0110,Hard,36,31,5,35,5.3000,5.3000,5.3000,5.2916,0.0084,PASS,169,136.32,23.98,4,356,built,PASS,
CKT_0111,Hard,37,33,4,36,5.7000,5.7000,5.7000,5.7196,0.0196,PASS,177,143.24,27.82,4,376,built,PASS,
CKT_0112,Hard,23,19,4,12,12.0000,12.0000,12.0000,11.9984,0.0016,PASS,107,22.05,7.93,4,240,built,PASS,
CKT_0113,Hard,25,21,4,12,9.0000,9.0000,9.0000,8.995,0.0050,PASS,117,24.38,7.23,4,260,built,PASS,
CKT_0114,Hard,23,17,6,12,5.0000,5.0000,5.0000,4.9991,0.0009,PASS,101,27.29,7.25,4,222,built,PASS,
CKT_0115,Hard,25,21,4,12,23.6000,23.6500,23.6500,23.6344,0.0344,PASS,117,31.75,9.06,4,260,built,PASS,
CKT_0116,Hard,23,19,4,12,8.8500,8.8500,8.8500,8.8276,0.0224,PASS,107,26.86,3.56,4,240,built,PASS,
CKT_0117,Hard,13,7,6,7,0.0500,0.0500,0.0500,0.0487,0.0013,PASS,51,17.14,4.81,4,126,built,PASS,
CKT_0118,Hard,14,8,6,8,3.3000,3.3000,3.3000,3.3037,0.0037,PASS,56,17.38,4.59,4,136,built,PASS,
CKT_0119,Hard,13,9,4,7,0.0000,0.0000,0.0000,0.0237,0.0237,PASS,57,17.15,4.59,4,144,built,PASS,
CKT_0120,Hard,14,9,5,8,3.4500,3.4500,3.4500,3.4379,0.0121,PASS,59,15.19,4.43,4,144,built,PASS,
CKT_0121,Hard,13,8,5,7,1.2000,1.2000,1.2000,1.188,0.0120,PASS,54,16.49,4.59,4,136,built,PASS,
CKT_0122,Hard,18,14,4,9,6.1000,6.1000,6.1000,6.1243,0.0243,PASS,82,28.54,5.97,4,192,built,PASS,
CKT_0123,Hard,18,13,5,9,0.5000,0.5000,0.5000,0.497,0.0030,PASS,79,33.95,6.01,4,184,built,PASS,
CKT_0124,Hard,18,12,6,9,7.4000,7.4000,7.4000,7.4091,0.0091,PASS,76,21.99,6.74,4,174,built,PASS,
CKT_0125,Hard,18,13,5,9,9.3000,9.3000,9.3000,9.3061,0.0061,PASS,79,24.14,0.63,4,184,built,PASS,
CKT_0126,Hard,18,13,5,9,12.6500,12.6500,12.6500,12.6372,0.0128,PASS,79,27.41,6.65,4,184,built,PASS,
CKT_0127,Hard,27,21,6,9,21.0000,21.0000,21.0000,21.0205,0.0205,PASS,121,34.33,11.41,4,260,built,PASS,
CKT_0128,Hard,27,21,6,9,0.0500,0.0500,0.0500,0.026,0.0240,PASS,121,25.23,8.44,4,260,built,PASS,
CKT_0129,Hard,43,37,6,42,8.8000,8.8000,8.8000,8.8102,0.0102,PASS,201,220.27,23.21,4,414,built,PASS,
CKT_0130,Hard,43,38,5,42,23.5500,23.6000,23.6000,23.6201,0.0701,FAIL,204,225.27,32.76,4,424,built,FAIL,
CKT_0131,Hard,49,43,6,48,14.1000,14.1000,14.1000,14.0817,0.0183,PASS,231,409.35,10.09,4,472,built,PASS,
CKT_0132,Hard,49,44,5,48,8.0000,8.0000,8.0000,7.9791,0.0209,PASS,234,372.64,43.25,4,480,built,PASS,
CKT_0133,Hard,50,44,6,49,7.0000,7.0000,7.0000,6.976,0.0240,PASS,236,331.69,47.32,4,480,built,PASS,
CKT_0134,Hard,29,24,5,14,12.0000,12.0000,12.0000,11.995,0.0050,PASS,134,48.66,7.87,4,288,built,PASS,
CKT_0135,Hard,31,25,6,16,14.9500,14.9500,14.9500,14.9694,0.0194,PASS,141,48.81,11.85,4,298,built,PASS,
CKT_0136,Hard,29,24,5,14,11.3000,11.3000,11.3000,11.3129,0.0129,PASS,134,36.93,6.01,4,288,built,PASS,
CKT_0137,Hard,31,25,6,16,1.8500,1.8500,1.8500,1.8463,0.0037,PASS,141,52.42,15.54,4,298,built,PASS,
CKT_0138,Hard,29,23,6,14,11.7000,11.7000,11.7000,11.7056,0.0056,PASS,131,38.37,7.31,4,280,built,PASS,
CKT_0139,Hard,15,10,5,8,3.3000,3.3000,3.3000,3.3,0.0000,PASS,64,19.25,2.31,4,154,built,PASS,
CKT_0140,Hard,16,10,6,9,15.0000,15.0000,15.0000,14.9813,0.0187,PASS,66,19.64,4.32,4,154,built,PASS,
CKT_0141,Hard,15,9,6,8,4.0500,4.0500,4.0500,4.0347,0.0153,PASS,61,18.30,3.42,4,144,built,PASS,
CKT_0142,Hard,16,10,6,9,1.9000,1.9000,1.9000,1.9138,0.0138,PASS,66,19.87,2.27,4,154,built,PASS,
