circuit,transformer,layer,head,global_max_err,rel_fro_err,col_0_err,col_1_err,col_2_err,col_3_err,col_4_err,col_5_err
CKT_0001,T1,0,0,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,1,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,2,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,3,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,4,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,5,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,6,0.0,0.0,0.0,,,,,
CKT_0001,T1,0,7,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,0,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,1,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,2,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,3,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,4,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,5,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,6,0.0,0.0,0.0,,,,,
CKT_0001,T1,1,7,0.0,0.0,0.0,,,,,
CKT_0015,T1,0,0,52.38095238095238,0.551974244368366,52.38095238095238,52.38095238095238,,,,
CKT_0015,T1,0,1,52.38095238095238,0.551974244368366,52.38095238095238,52.38095238095238,,,,
CKT_0015,T1,0,2,76.19047619047619,0.8762538296240158,76.19047619047619,76.19047619047619,,,,
CKT_0015,T1,0,3,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,4,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,5,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,6,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,7,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,8,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,9,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,10,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,11,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,0,12,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,0,52.38095238095238,0.4259784546653784,52.38095238095238,0.0,,,,
CKT_0015,T1,1,1,52.38095238095238,0.4259784546653784,36.01190476190476,52.38095238095238,,,,
CKT_0015,T1,1,2,1020.0,11.736219830892857,1019.9999999999999,1020.0,,,,
CKT_0015,T1,1,3,106909.52380952382,1133.0034136021902,106909.52380952382,106909.5238095238,,,,
CKT_0015,T1,1,4,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,5,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,6,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,7,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,8,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,9,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,10,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,11,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,1,12,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,0,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,1,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,2,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,3,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,4,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,5,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,6,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,7,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,8,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,9,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,10,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,11,0.0,0.0,0.0,0.0,,,,
CKT_0015,T1,2,12,0.0,0.0,0.0,0.0,,,,
CKT_0067,T1,0,0,320.11785147620566,0.7094248794856005,10.756783708628676,320.1178514762056,320.11785147620566,22.350312174194226,2.095678294379531,22.350312174194226
CKT_0067,T1,0,1,320.11785147620566,0.7094248794856005,10.756783708628676,320.1178514762056,320.11785147620566,22.350312174194226,2.095678294379531,22.350312174194226
CKT_0067,T1,0,2,1190.4896858955701,5.9178303999004696,1190.4896858955701,1190.48968589557,1190.4896858955701,1190.4896858955701,1190.4896858955701,1190.4896858955701
CKT_0067,T1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
