circuit,transformer,setting,rel_fro_err,max_err_vs_ref,max_err_vs_numpy,infer_s
CKT_0015,T1,float64,0.0,0.0,0.0,0.005857706069946289
CKT_0015,T1,int16,657.5101141626724,69380.92204531818,69380.92204531818,0.005671977996826172
CKT_0015,T1,int8,1.0,104.76190476190476,104.76190476190476,0.005685329437255859
CKT_0015,T1,int4,1.0,104.76190476190476,104.76190476190476,0.005723476409912109
CKT_0015,T1,prune_10,0.0,0.0,0.0,0.005835533142089844
CKT_0015,T1,prune_50,0.0,0.0,0.0,0.005785226821899414
CKT_0015,T1,prune_90,0.0,0.0,0.0,0.0057811737060546875
CKT_0067,T1,float64,0.0,0.0,5.684341886080802e-14,0.04690361022949219
CKT_0067,T1,int16,1555.4026219437812,440556.9924902574,440556.9924902574,0.04660940170288086
CKT_0067,T1,int8,1.0,415.42446528469395,415.42446528469395,0.046253204345703125
CKT_0067,T1,int4,1.0,415.42446528469395,415.42446528469395,0.04696488380432129
CKT_0067,T1,prune_10,0.0,0.0,5.684341886080802e-14,0.05079960823059082
CKT_0067,T1,prune_50,0.0,0.0,5.684341886080802e-14,0.05885004997253418
CKT_0067,T1,prune_90,0.0,0.0,5.684341886080802e-14,0.047395944595336914
