circuit_id,setting,N,n_free,pred_v,truth_v,abs_error_v,delta_vs_float64,pass_50mv,pass_75mv,build_status,run_status,run_time_s,error
CKT_0009,int4,,1,0.000000,4.8526,4.852600,4.850000,FAIL,FAIL,,FAIL,0.09,
CKT_0009,prune10,,1,4.850000,4.8526,0.002600,0.000000,PASS,PASS,,PASS,0.38,
CKT_0009,prune50,,1,4.850000,4.8526,0.002600,0.000000,PASS,PASS,,PASS,0.12,
CKT_0009,prune90,,1,4.850000,4.8526,0.002600,0.000000,PASS,PASS,,PASS,0.24,
CKT_0010,float64,,1,7.550000,7.5340,0.016000,0.000000,PASS,PASS,,PASS,0.17,
CKT_0010,int16,,1,0.000000,7.5340,7.534000,7.550000,FAIL,FAIL,,FAIL,0.09,
CKT_0010,int8,,1,0.000000,7.5340,7.534000,7.550000,FAIL,FAIL,,FAIL,0.15,
CKT_0010,int4,,1,0.000000,7.5340,7.534000,7.550000,FAIL,FAIL,,FAIL,0.34,
CKT_0010,prune10,,1,7.550000,7.5340,0.016000,0.000000,PASS,PASS,,PASS,0.39,
CKT_0010,prune50,,1,7.550000,7.5340,0.016000,0.000000,PASS,PASS,,PASS,0.34,
CKT_0010,prune90,,1,7.550000,7.5340,0.016000,0.000000,PASS,PASS,,PASS,0.18,
CKT_0011,float64,,1,8.000000,7.9758,0.024200,0.000000,PASS,PASS,,PASS,0.29,
CKT_0011,int16,,1,0.000000,7.9758,7.975800,8.000000,FAIL,FAIL,,FAIL,0.21,
CKT_0011,int8,,1,0.000000,7.9758,7.975800,8.000000,FAIL,FAIL,,FAIL,0.32,
CKT_0011,int4,,1,0.000000,7.9758,7.975800,8.000000,FAIL,FAIL,,FAIL,0.21,
CKT_0011,prune10,,1,8.000000,7.9758,0.024200,0.000000,PASS,PASS,,PASS,0.28,
CKT_0011,prune50,,1,8.000000,7.9758,0.024200,0.000000,PASS,PASS,,PASS,0.43,
CKT_0011,prune90,,1,8.000000,7.9758,0.024200,0.000000,PASS,PASS,,PASS,0.14,
CKT_0012,float64,,1,10.450000,10.4681,0.018100,0.000000,PASS,PASS,,PASS,0.15,
CKT_0012,int16,,1,0.000000,10.4681,10.468100,10.450000,FAIL,FAIL,,FAIL,0.20,
CKT_0012,int8,,1,0.000000,10.4681,10.468100,10.450000,FAIL,FAIL,,FAIL,0.31,
CKT_0012,int4,,1,0.000000,10.4681,10.468100,10.450000,FAIL,FAIL,,FAIL,0.26,
CKT_0012,prune10,,1,10.450000,10.4681,0.018100,0.000000,PASS,PASS,,PASS,0.20,
CKT_0012,prune50,,1,10.450000,10.4681,0.018100,0.000000,PASS,PASS,,PASS,0.28,
CKT_0012,prune90,,1,10.450000,10.4681,0.018100,0.000000,PASS,PASS,,PASS,0.24,
CKT_0013,float64,,1,0.100000,0.1090,0.009000,0.000000,PASS,PASS,,PASS,0.39,
CKT_0013,int16,,1,0.000000,0.1090,0.109000,0.100000,FAIL,FAIL,,FAIL,0.20,
CKT_0013,int8,,1,0.000000,0.1090,0.109000,0.100000,FAIL,FAIL,,FAIL,0.43,
CKT_0013,int4,,1,0.000000,0.1090,0.109000,0.100000,FAIL,FAIL,,FAIL,0.19,
CKT_0013,prune10,,1,0.100000,0.1090,0.009000,0.000000,PASS,PASS,,PASS,0.22,
CKT_0013,prune50,,1,0.100000,0.1090,0.009000,0.000000,PASS,PASS,,PASS,0.21,
CKT_0013,prune90,,1,0.100000,0.1090,0.009000,0.000000,PASS,PASS,,PASS,0.22,
CKT_0014,float64,,1,7.250000,7.2644,0.014400,0.000000,PASS,PASS,,PASS,0.19,
CKT_0014,int16,,1,0.000000,7.2644,7.264400,7.250000,FAIL,FAIL,,FAIL,0.12,
CKT_0014,int8,,1,0.000000,7.2644,7.264400,7.250000,FAIL,FAIL,,FAIL,0.10,
CKT_0014,int4,,1,0.000000,7.2644,7.264400,7.250000,FAIL,FAIL,,FAIL,0.13,
CKT_0014,prune10,,1,7.250000,7.2644,0.014400,0.000000,PASS,PASS,,PASS,0.08,
CKT_0014,prune50,,1,7.250000,7.2644,0.014400,0.000000,PASS,PASS,,PASS,0.19,
CKT_0014,prune90,,1,7.250000,7.2644,0.014400,0.000000,PASS,PASS,,PASS,0.15,
CKT_0015,float64,,2,2.850000,2.8571,0.007100,0.000000,PASS,PASS,,PASS,0.56,
CKT_0015,int16,,2,0.000000,2.8571,2.857100,2.850000,FAIL,FAIL,,FAIL,0.43,
CKT_0015,int8,,2,0.000000,2.8571,2.857100,2.850000,FAIL,FAIL,,FAIL,0.30,
CKT_0015,int4,,2,0.000000,2.8571,2.857100,2.850000,FAIL,FAIL,,FAIL,0.32,
CKT_0015,prune10,,2,2.850000,2.8571,0.007100,0.000000,PASS,PASS,,PASS,0.62,
CKT_0015,prune50,,2,2.850000,2.8571,0.007100,0.000000,PASS,PASS,,PASS,0.56,
CKT_0015,prune90,,2,2.850000,2.8571,0.007100,0.000000,PASS,PASS,,PASS,0.70,
CKT_0016,float64,,2,4.850000,4.8316,0.018400,0.000000,PASS,PASS,,PASS,0.65,
CKT_0016,int16,,2,0.000000,4.8316,4.831600,4.850000,FAIL,FAIL,,FAIL,0.62,
CKT_0016,int8,,2,0.000000,4.8316,4.831600,4.850000,FAIL,FAIL,,FAIL,0.64,
CKT_0016,int4,,2,0.000000,4.8316,4.831600,4.850000,FAIL,FAIL,,FAIL,0.51,
CKT_0016,prune10,,2,4.850000,4.8316,0.018400,0.000000,PASS,PASS,,PASS,0.39,
CKT_0016,prune50,,2,4.850000,4.8316,0.018400,0.000000,PASS,PASS,,PASS,0.33,
CKT_0016,prune90,,2,4.850000,4.8316,0.018400,0.000000,PASS,PASS,,PASS,0.31,
CKT_0017,float64,,2,0.100000,0.1047,0.004700,0.000000,PASS,PASS,,PASS,0.19,
