circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V,truth_V,abs_error,pass_fail,lu_build_s,lu_infer_s,readout_build_s,infer_s,n_tokens,tx1_cache,tx2_cache,build_status,error
CKT_0042,Intermediate,6,4,2,4,0.0500,0.0603,0.0103,PASS,0.000,1.406,0.292,0.057,16,standard,standard,built,
CKT_0043,Intermediate,6,4,2,4,7.7000,7.6841,0.0159,PASS,0.000,1.407,0.338,0.031,16,standard,standard,built,
CKT_0044,Intermediate,6,4,2,4,0.1000,0.0798,0.0202,PASS,0.000,1.494,0.384,0.035,16,standard,standard,built,
CKT_0045,Intermediate,6,4,2,4,3.0000,3.0,0.0000,PASS,0.000,1.462,0.369,0.027,16,standard,standard,built,
CKT_0046,Intermediate,6,4,2,5,0.0500,0.0352,0.0148,PASS,0.000,1.397,0.300,0.047,16,standard,standard,built,
CKT_0047,Intermediate,6,4,2,5,3.2500,3.2289,0.0211,PASS,0.000,1.402,0.339,0.050,16,standard,standard,built,
CKT_0048,Intermediate,6,4,2,5,1.5000,1.5197,0.0197,PASS,0.000,1.418,0.298,0.057,16,standard,standard,built,
CKT_0049,Intermediate,6,4,2,5,0.9500,0.9619,0.0119,PASS,0.000,1.406,0.339,0.032,16,standard,standard,built,
CKT_0050,Intermediate,5,2,3,3,1.8000,1.782,0.0180,PASS,0.000,1.373,0.338,0.019,14,standard,standard,built,
CKT_0051,Intermediate,5,2,3,3,2.0000,2.0162,0.0162,PASS,0.000,1.380,0.377,0.023,14,standard,standard,built,
CKT_0052,Intermediate,5,2,3,3,1.4000,1.4137,0.0137,PASS,0.000,1.394,0.339,0.029,14,standard,standard,built,
CKT_0053,Intermediate,5,2,3,3,1.3000,1.2977,0.0023,PASS,0.000,1.410,0.341,0.028,14,standard,standard,built,
CKT_0054,Intermediate,5,2,3,3,2.2000,2.1968,0.0032,PASS,0.000,1.420,0.304,0.046,14,standard,standard,built,
CKT_0055,Hard,12,7,5,4,0.2000,0.2155,0.0155,PASS,0.000,1.506,0.340,0.058,28,standard,standard,built,
CKT_0056,Hard,12,8,4,4,12.0000,12.0,0.0000,PASS,0.000,1.620,0.298,0.060,28,standard,standard,built,
CKT_0057,Hard,12,7,5,4,7.5500,7.567,0.0170,PASS,0.000,1.507,0.340,0.039,28,standard,standard,built,
CKT_0058,Hard,12,8,4,4,3.3000,3.3,0.0000,PASS,0.000,1.602,0.384,0.038,28,standard,standard,built,
CKT_0059,Hard,12,7,5,4,0.0500,0.066,0.0160,PASS,0.000,1.523,0.339,0.037,28,standard,standard,built,
CKT_0060,Hard,13,8,5,12,17.1000,17.1311,0.0311,PASS,0.000,1.581,0.378,0.042,30,standard,standard,built,
CKT_0061,Hard,13,10,3,12,11.4000,11.4013,0.0013,PASS,0.000,1.656,0.341,0.036,30,standard,standard,built,
CKT_0062,Hard,16,11,5,15,5.0000,5.0088,0.0088,PASS,0.000,1.712,0.358,0.061,36,standard,standard,built,
CKT_0063,Hard,16,12,4,15,0.2500,0.2298,0.0202,PASS,0.000,1.841,0.346,0.046,36,standard,standard,built,
CKT_0064,Hard,17,14,3,16,9.0000,8.9905,0.0095,PASS,0.000,2.027,0.339,0.049,38,standard,standard,built,
CKT_0065,Hard,11,6,5,6,10.2000,10.1916,0.0084,PASS,0.000,1.499,0.336,0.039,26,standard,standard,built,
CKT_0066,Hard,13,8,5,6,12.4000,12.4153,0.0153,PASS,0.000,1.534,0.373,0.038,30,standard,standard,built,
CKT_0067,Hard,11,6,5,6,21.2000,21.2617,0.0617,PASS,0.000,1.490,0.340,0.033,26,standard,standard,built,
CKT_0068,Hard,13,8,5,6,23.9500,24.0,0.0500,PASS,0.000,1.548,0.342,0.036,30,standard,standard,built,
CKT_0069,Hard,11,7,4,6,6.7000,6.7311,0.0311,PASS,0.000,1.576,0.412,0.033,26,standard,standard,built,
CKT_0070,Hard,7,4,3,4,0.0000,0.0221,0.0221,PASS,0.000,1.493,0.363,0.037,18,standard,standard,built,
CKT_0071,Hard,8,5,3,5,9.0000,9.0,0.0000,PASS,0.000,1.517,0.385,0.028,20,standard,standard,built,
CKT_0072,Hard,7,2,5,4,1.8000,1.8,0.0000,PASS,0.000,1.469,0.359,0.027,18,standard,standard,built,
CKT_0073,Hard,8,5,3,5,1.8000,1.8238,0.0238,PASS,0.000,1.498,0.340,0.050,20,standard,standard,built,
CKT_0074,Hard,7,3,4,4,3.3000,3.3,0.0000,PASS,0.000,1.415,0.296,0.048,18,standard,standard,built,
CKT_0075,Hard,10,7,3,5,7.1000,7.1181,0.0181,PASS,0.000,1.541,0.299,0.064,24,standard,standard,built,
CKT_0076,Hard,10,7,3,5,0.9000,0.906,0.0060,PASS,0.000,1.536,0.340,0.038,24,standard,standard,built,
CKT_0077,Hard,10,7,3,5,9.0000,9.0,0.0000,PASS,0.000,1.493,0.373,0.041,24,standard,standard,built,
CKT_0078,Hard,10,5,5,5,7.1000,7.084,0.0160,PASS,0.000,1.476,0.339,0.034,24,standard,standard,built,
CKT_0079,Hard,10,5,5,5,3.3000,3.3,0.0000,PASS,0.000,1.435,0.316,0.053,24,standard,standard,built,
CKT_0080,Hard,17,12,5,6,4.9500,4.9311,0.0189,PASS,0.000,1.812,0.386,0.057,38,standard,standard,built,
CKT_0081,Hard,17,11,6,6,4.7000,4.7176,0.0176,PASS,0.000,1.702,0.296,0.065,38,standard,standard,built,
CKT_0082,Hard,17,12,5,6,2.4000,2.3987,0.0013,PASS,0.000,1.836,0.324,0.072,38,standard,standard,built,
CKT_0083,Hard,17,12,5,6,15.0000,14.9996,0.0004,PASS,0.000,1.810,0.323,0.067,38,standard,standard,built,
CKT_0084,Hard,21,17,4,20,14.2500,14.2707,0.0207,PASS,0.000,2.359,0.337,0.082,46,standard,standard,built,
CKT_0085,Hard,21,16,5,20,2.7500,2.7688,0.0188,PASS,0.000,2.305,0.311,0.078,46,standard,standard,built,
CKT_0086,Hard,25,19,6,24,4.6500,4.6575,0.0075,PASS,0.000,2.777,0.357,0.061,54,standard,standard,built,
CKT_0087,Hard,25,20,5,24,20.0500,20.0725,0.0225,PASS,0.000,2.989,0.339,0.064,54,standard,standard,built,
CKT_0088,Hard,26,21,5,25,4.9500,4.9738,0.0238,PASS,0.000,3.064,0.352,0.062,56,standard,standard,built,
CKT_0089,Hard,17,11,6,8,3.5000,3.4927,0.0073,PASS,0.000,1.779,0.328,0.072,38,standard,standard,built,
CKT_0090,Hard,19,13,6,10,4.9500,4.9572,0.0072,PASS,0.000,1.936,0.313,0.076,42,standard,standard,built,
CKT_0091,Hard,17,12,5,8,13.4000,13.3976,0.0024,PASS,0.000,1.822,0.340,0.069,38,standard,standard,built,
CKT_0092,Hard,19,13,6,10,15.0500,15.0485,0.0015,PASS,0.000,1.929,0.326,0.070,42,standard,standard,built,
CKT_0093,Hard,17,13,4,8,10.8500,10.8352,0.0148,PASS,0.000,1.911,0.299,0.075,38,standard,standard,built,
CKT_0094,Hard,10,6,4,6,4.1500,4.1475,0.0025,PASS,0.000,1.536,0.305,0.073,24,standard,standard,built,
CKT_0095,Hard,11,5,6,6,1.8000,1.8,0.0000,PASS,0.000,1.489,0.337,0.056,26,standard,standard,built,
CKT_0096,Hard,10,5,5,6,11.3000,11.3191,0.0191,PASS,0.000,1.541,0.300,0.063,24,standard,standard,built,
CKT_0097,Hard,11,7,4,6,4.3000,4.2758,0.0242,PASS,0.000,1.517,0.300,0.063,26,standard,standard,built,
CKT_0098,Hard,10,4,6,6,9.2000,9.202,0.0020,PASS,0.000,1.470,0.298,0.063,24,standard,standard,built,
CKT_0099,Hard,14,10,4,7,1.8500,1.8308,0.0192,PASS,0.000,1.702,0.302,0.059,32,standard,standard,built,
CKT_0100,Hard,14,8,6,7,5.0000,5.0,0.0000,PASS,0.000,1.514,0.295,0.063,32,standard,standard,built,
CKT_0101,Hard,14,9,5,7,2.6500,2.6478,0.0022,PASS,0.000,1.616,0.298,0.070,32,standard,standard,built,
CKT_0102,Hard,14,8,6,7,10.8500,10.8656,0.0156,PASS,0.000,1.561,0.375,0.043,32,standard,standard,built,
CKT_0103,Hard,14,8,6,7,8.6500,8.6457,0.0043,PASS,0.000,1.548,0.295,0.063,32,standard,standard,built,
CKT_0104,Hard,22,18,4,7,15.0000,15.0,0.0000,PASS,0.000,2.569,0.295,0.073,48,standard,standard,built,
CKT_0105,Hard,22,16,6,7,0.0500,0.0601,0.0101,PASS,0.000,2.296,0.328,0.073,48,standard,standard,built,
CKT_0106,Hard,22,17,5,7,11.8000,11.7927,0.0073,PASS,0.000,2.427,0.361,0.068,48,standard,standard,built,
CKT_0107,Hard,31,27,4,30,2.2500,2.2513,0.0013,PASS,0.000,5.198,0.354,0.085,66,standard,standard,built,
CKT_0108,Hard,31,27,4,30,3.8500,3.8495,0.0005,PASS,0.000,5.252,0.309,0.090,66,standard,standard,built,
CKT_0109,Hard,36,30,6,35,4.1500,4.1397,0.0103,PASS,0.000,6.480,0.345,0.104,76,standard,standard,built,
CKT_0110,Hard,36,31,5,35,5.3000,5.2916,0.0084,PASS,0.000,7.753,0.322,0.109,76,standard,standard,built,
CKT_0111,Hard,37,33,4,36,5.7000,5.7196,0.0196,PASS,0.000,9.655,0.325,0.103,78,standard,standard,built,
