n,max_abs_err,median_abs_err,build_s,infer_s,d_model,n_layers,n_params,tokens_per_col,status
130,2.498001805406602e-16,1.0408340855860843e-17,241.844,1061.258,1558,3,48578440,392,ok
150,4.707345624410664e-14,1.7763568394002505e-15,198.858,1593.654,1798,3,64692040,452,ok
