circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,skipped_existing
CKT_0098,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0099,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0100,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0101,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0102,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0103,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0104,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0105,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0106,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0107,31,1550,5,36,20,18,546,76032,613850,,,True
CKT_0108,31,1550,5,36,20,18,546,76032,613850,,,True
CKT_0109,36,1800,5,36,20,18,556,76752,619730,,,True
CKT_0110,36,1800,5,36,20,18,556,76752,619730,,,True
CKT_0111,37,1850,5,36,20,18,558,76896,620906,,,True
CKT_0112,23,1150,5,36,20,18,530,74880,604442,,,True
CKT_0113,25,1250,5,36,20,18,534,75168,606794,,,True
CKT_0114,23,1150,5,36,20,18,530,74880,604442,,,True
CKT_0115,25,1250,5,36,20,18,534,75168,606794,,,True
CKT_0116,23,1150,5,36,20,18,530,74880,604442,,,True
CKT_0117,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0118,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0119,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0120,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0121,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0122,18,1000,5,36,20,18,520,74160,598562,,,True
CKT_0123,18,1000,5,36,20,18,520,74160,598562,,,True
CKT_0124,18,1000,5,36,20,18,520,74160,598562,,,True
CKT_0125,18,1000,5,36,20,18,520,74160,598562,,,True
CKT_0126,18,1000,5,36,20,18,520,74160,598562,,,True
CKT_0127,27,1350,5,36,20,18,538,75456,609146,,,True
CKT_0128,27,1350,5,36,20,18,538,75456,609146,,,True
CKT_0129,43,2150,5,36,20,18,570,77760,627962,,,True
CKT_0130,43,2150,5,36,20,18,570,77760,627962,,,True
CKT_0131,49,2450,5,36,20,18,582,78624,635018,,,True
CKT_0132,49,2450,5,36,20,18,582,78624,635018,,,True
CKT_0133,50,2500,5,36,20,18,584,78768,636194,,,True
CKT_0134,29,1450,5,36,20,18,542,75744,611498,,,True
CKT_0135,31,1550,5,36,20,18,546,76032,613850,,,True
CKT_0136,29,1450,5,36,20,18,542,75744,611498,,,True
CKT_0137,31,1550,5,36,20,18,546,76032,613850,,,True
CKT_0138,29,1450,5,36,20,18,542,75744,611498,,,True
CKT_0139,15,1000,5,36,20,18,514,73728,595034,,,True
CKT_0140,16,1000,5,36,20,18,516,73872,596210,,,True
CKT_0141,15,1000,5,36,20,18,514,73728,595034,,,True
CKT_0142,16,1000,5,36,20,18,516,73872,596210,,,True
CKT_0143,15,1000,5,36,20,18,514,73728,595034,,,True
CKT_0144,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0145,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0146,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0147,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0148,22,1100,5,36,20,18,528,74736,603266,,,True
CKT_0149,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0150,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0151,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0152,14,1000,5,36,20,18,512,73584,593858,,,True
CKT_0153,18,1000,5,36,20,18,520,74160,598562,,,True
CKT_0154,22,1100,5,36,20,18,528,74736,603266,,,True
