circuit_id,complexity,N,max_degree,target_node,rho_J,omega,T_used,n_red,n_black,conflicts,pred_V_dsl,ref_V_rbsor,jacobi_ref_V,truth_V,abs_error,pass_fail,dsl_matches_ref,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0032,Intermediate,5,3,4,0.775722,1.2262,200,3,2,1,2.5500,2.5500,2.5536,2.5535,0.0035,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0033,Intermediate,5,3,4,0.619045,1.1202,200,3,2,1,18.8500,18.8500,18.8795,18.8788,0.0288,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0034,Intermediate,5,3,4,0.685889,1.1576,200,3,2,0,4.7000,4.7000,4.6734,4.6738,0.0262,PASS,Y,2014,1.75,6,36,built,PASS,
CKT_0035,Intermediate,5,3,4,0.594323,1.1085,200,3,2,0,1.7500,1.7500,1.7567,1.757,0.0070,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0036,Intermediate,5,3,4,0.177177,1.0080,200,3,2,0,0.0000,0.0000,0.0081,0.0082,0.0082,PASS,Y,2014,1.76,6,36,built,PASS,
CKT_0037,Intermediate,5,3,4,0.632314,1.1269,200,3,2,0,2.6500,2.6500,2.6662,2.6664,0.0164,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0038,Intermediate,5,3,3,0.058725,1.0009,200,3,2,0,2.8000,2.8000,2.7845,2.7845,0.0155,PASS,Y,2014,1.73,6,36,built,PASS,
CKT_0039,Intermediate,5,3,3,0.990405,1.7572,200,3,2,0,18.0000,18.0000,18.2483,18.2062,0.2062,FAIL,Y,2014,1.73,6,36,built,FAIL,
CKT_0040,Intermediate,5,3,3,0.165608,1.0070,200,3,2,0,3.2500,3.2500,3.2548,3.2548,0.0048,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0041,Intermediate,5,3,3,0.683515,1.1561,200,3,2,0,4.6500,4.6500,4.6524,4.6532,0.0032,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0042,Intermediate,6,3,4,0.581195,1.1027,200,3,3,2,0.0500,0.0500,0.0600,0.0603,0.0103,PASS,Y,2416,2.10,6,36,built,PASS,
CKT_0043,Intermediate,6,3,4,0.990518,1.7584,200,3,3,2,23.9500,23.9500,7.6914,7.6841,16.2659,FAIL,Y,2416,2.10,6,36,built,FAIL,
CKT_0044,Intermediate,6,3,4,0.839639,1.2961,200,3,3,2,0.1000,0.1000,0.0794,0.0798,0.0202,PASS,Y,2416,2.10,6,36,built,PASS,
CKT_0045,Intermediate,6,3,4,0.582132,1.1031,200,3,3,2,3.0000,3.0000,3.0007,3.0,0.0000,PASS,Y,2416,2.09,6,36,built,PASS,
CKT_0046,Intermediate,6,4,5,0.947256,1.5146,200,3,3,2,0.0000,0.0000,0.0351,0.0352,0.0352,PASS,Y,2416,2.09,6,36,built,PASS,
CKT_0047,Intermediate,6,4,5,0.945933,1.5102,200,3,3,2,0.0000,0.0000,3.2303,3.2289,3.2289,FAIL,Y,2416,2.11,6,36,built,FAIL,
CKT_0048,Intermediate,6,4,5,0.870986,1.3411,200,3,3,2,1.5000,1.5000,1.5185,1.5197,0.0197,PASS,Y,2416,2.12,6,36,built,PASS,
CKT_0049,Intermediate,6,4,5,0.792532,1.2424,200,3,3,2,0.9500,0.9500,0.9619,0.9619,0.0119,PASS,Y,2416,2.09,6,36,built,PASS,
CKT_0050,Intermediate,5,3,3,0.021058,1.0001,200,3,2,1,1.8000,1.8000,1.7818,1.782,0.0180,PASS,Y,2014,1.76,6,36,built,PASS,
CKT_0051,Intermediate,5,3,3,0.109726,1.0030,200,3,2,1,2.0000,2.0000,2.0156,2.0162,0.0162,PASS,Y,2014,1.76,6,36,built,PASS,
CKT_0052,Intermediate,5,3,3,0.927225,1.4551,200,3,2,1,23.9500,23.9500,1.4134,1.4137,22.5363,FAIL,Y,2014,1.74,6,36,built,FAIL,
CKT_0053,Intermediate,5,3,3,0.901149,1.3952,200,3,2,1,0.0000,0.0000,1.3016,1.2977,1.2977,FAIL,Y,2014,1.74,6,36,built,FAIL,
CKT_0054,Intermediate,5,3,3,0.114891,1.0033,200,3,2,1,2.2000,2.2000,2.1968,2.1968,0.0032,PASS,Y,2014,1.74,6,36,built,PASS,
CKT_0055,Hard,12,10,4,0.967479,1.5962,200,2,10,9,0.2000,0.2000,0.2156,0.2155,0.0155,PASS,Y,4828,4.17,6,36,built,PASS,
CKT_0056,Hard,12,10,4,0.886395,1.3671,200,2,10,9,12.0000,12.0000,12.0000,12.0,0.0000,PASS,Y,4828,4.15,6,36,built,PASS,
CKT_0057,Hard,12,10,4,0.584826,1.1043,200,2,10,9,7.5500,7.5500,7.5675,7.567,0.0170,PASS,Y,4828,4.15,6,36,built,PASS,
CKT_0058,Hard,12,10,4,0.995372,1.8247,200,2,10,9,3.3000,3.3000,3.3000,3.3,0.0000,PASS,Y,4828,4.17,6,36,built,PASS,
CKT_0059,Hard,12,10,4,0.999918,1.9747,410,2,10,9,0.0000,0.0000,0.0672,0.066,0.0660,FAIL,Y,9868,8.56,6,36,built,FAIL,
