circuit_id,complexity,N,max_degree,target_node,rho_J,omega_used,T_used,n_red,n_black,conflicts,solver_used,fallback_reason,divergence_pred_50,divergence_pred_100,pred_V_dsl,ref_V,jacobi_ref_V,truth_V,abs_error,pass_fail,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0031,Intermediate,5,3,4,0.901583,1.3961,500,3,2,1,jacobi,conflicts=1,,,3.1500,3.1525,3.1525,3.1534,0.0034,PASS,5014,11.43,5,36,built,PASS,
CKT_0032,Intermediate,5,3,4,0.775722,1.2262,500,3,2,1,jacobi,conflicts=1,,,2.5500,2.5536,2.5536,2.5535,0.0035,PASS,5014,11.39,5,36,built,PASS,
CKT_0033,Intermediate,5,3,4,0.619045,1.1202,500,3,2,1,jacobi,conflicts=1,,,18.8700,18.8795,18.8795,18.8788,0.0088,PASS,5014,11.48,5,36,built,PASS,
CKT_0034,Intermediate,5,3,4,0.685889,1.1576,500,3,2,0,rbsor,ok,4.6700,4.6700,4.6700,4.6700,4.6734,4.6738,0.0038,PASS,5014,12.05,6,36,built,PASS,
CKT_0035,Intermediate,5,3,4,0.594323,1.1085,500,3,2,0,rbsor,ok,1.7600,1.7600,1.7600,1.7600,1.7567,1.757,0.0030,PASS,5014,11.98,6,36,built,PASS,
CKT_0036,Intermediate,5,3,4,0.177177,1.0080,500,3,2,0,rbsor,ok,0.0100,0.0100,0.0100,0.0100,0.0081,0.0082,0.0018,PASS,5014,12.02,6,36,built,PASS,
CKT_0037,Intermediate,5,3,4,0.632314,1.1269,500,3,2,0,rbsor,ok,2.6600,2.6600,2.6600,2.6600,2.6662,2.6664,0.0064,PASS,5014,11.98,6,36,built,PASS,
CKT_0038,Intermediate,5,3,3,0.058725,1.0009,500,3,2,0,rbsor,ok,2.7800,2.7800,2.7800,2.7800,2.7845,2.7845,0.0045,PASS,5014,11.96,6,36,built,PASS,
CKT_0039,Intermediate,5,3,3,0.990405,1.5000,500,3,2,0,rbsor,ok,17.3000,18.2200,18.2200,18.2200,18.2483,18.2062,0.0138,PASS,5014,11.85,6,36,built,PASS,
CKT_0040,Intermediate,5,3,3,0.165608,1.0070,500,3,2,0,rbsor,ok,3.2500,3.2500,3.2500,3.2500,3.2548,3.2548,0.0048,PASS,5014,11.88,6,36,built,PASS,
CKT_0041,Intermediate,5,3,3,0.683515,1.1561,500,3,2,0,rbsor,ok,4.6500,4.6500,4.6500,4.6500,4.6524,4.6532,0.0032,PASS,5014,11.93,6,36,built,PASS,
CKT_0042,Intermediate,6,3,4,0.581195,1.1027,500,3,3,2,jacobi,conflicts=2,,,0.0600,0.0600,0.0600,0.0603,0.0003,PASS,6016,13.83,5,36,built,PASS,
CKT_0043,Intermediate,6,3,4,0.990518,1.5000,500,3,3,2,jacobi,conflicts=2,,,7.2500,7.6268,7.6914,7.6841,0.4341,FAIL,6016,13.74,5,36,built,FAIL,
CKT_0044,Intermediate,6,3,4,0.839639,1.2961,500,3,3,2,jacobi,conflicts=2,,,0.0600,0.0794,0.0794,0.0798,0.0198,PASS,6016,13.72,5,36,built,PASS,
CKT_0045,Intermediate,6,3,4,0.582132,1.1031,500,3,3,2,jacobi,conflicts=2,,,3.0000,3.0007,3.0007,3.0,0.0000,PASS,6016,13.81,5,36,built,PASS,
CKT_0046,Intermediate,6,4,5,0.947256,1.5000,500,3,3,2,jacobi,conflicts=2,,,0.0200,0.0351,0.0351,0.0352,0.0152,PASS,6016,13.76,5,36,built,PASS,
CKT_0047,Intermediate,6,4,5,0.945933,1.5000,500,3,3,2,jacobi,conflicts=2,,,3.1800,3.2303,3.2303,3.2289,0.0489,PASS,6016,13.92,5,36,built,PASS,
CKT_0048,Intermediate,6,4,5,0.870986,1.3411,500,3,3,2,jacobi,conflicts=2,,,1.5000,1.5185,1.5185,1.5197,0.0197,PASS,6016,13.89,5,36,built,PASS,
CKT_0049,Intermediate,6,4,5,0.792532,1.2424,500,3,3,2,jacobi,conflicts=2,,,0.9500,0.9619,0.9619,0.9619,0.0119,PASS,6016,13.83,5,36,built,PASS,
CKT_0050,Intermediate,5,3,3,0.021058,1.0001,500,3,2,1,jacobi,conflicts=1,,,1.7800,1.7818,1.7818,1.782,0.0020,PASS,5014,11.59,5,36,built,PASS,
CKT_0051,Intermediate,5,3,3,0.109726,1.0030,500,3,2,1,jacobi,conflicts=1,,,2.0200,2.0156,2.0156,2.0162,0.0038,PASS,5014,11.56,5,36,built,PASS,
CKT_0052,Intermediate,5,3,3,0.927225,1.4551,500,3,2,1,jacobi,conflicts=1,,,1.3600,1.4134,1.4134,1.4137,0.0537,FAIL,5014,11.53,5,36,built,FAIL,
CKT_0053,Intermediate,5,3,3,0.901149,1.3952,500,3,2,1,jacobi,conflicts=1,,,1.2700,1.3016,1.3016,1.2977,0.0277,PASS,5014,11.52,5,36,built,PASS,
CKT_0054,Intermediate,5,3,3,0.114891,1.0033,500,3,2,1,jacobi,conflicts=1,,,2.2000,2.1968,2.1968,2.1968,0.0032,PASS,5014,11.54,5,36,built,PASS,
CKT_0055,Hard,12,10,4,0.967479,1.5000,600,2,10,9,jacobi,conflicts=9,,,0.2200,0.2156,0.2156,0.2155,0.0045,PASS,14428,33.16,5,36,built,PASS,
CKT_0056,Hard,12,10,4,0.886395,1.3671,600,2,10,9,jacobi,conflicts=9,,,12.0000,12.0000,12.0000,12.0,0.0000,PASS,14428,33.16,5,36,built,PASS,
CKT_0057,Hard,12,10,4,0.584826,1.1043,600,2,10,9,jacobi,conflicts=9,,,7.5700,7.5675,7.5675,7.567,0.0030,PASS,14428,33.17,5,36,built,PASS,
CKT_0058,Hard,12,10,4,0.995372,1.5000,600,2,10,9,jacobi,conflicts=9,,,3.3000,3.3000,3.3000,3.3,0.0000,PASS,14428,33.05,5,36,built,PASS,
CKT_0059,Hard,12,10,4,0.999918,1.5000,600,2,10,9,jacobi,conflicts=9,,,0.0700,0.0672,0.0672,0.066,0.0040,PASS,14428,33.24,5,36,built,PASS,
CKT_0060,Hard,13,4,12,0.991785,1.5000,650,7,6,0,jacobi,divergence pred50=15.8600 pred100=16.9900,15.8600,16.9900,16.8900,17.0196,17.0850,17.1311,0.2411,FAIL,16930,39.04,5,36,built,FAIL,
CKT_0061,Hard,13,4,12,0.984967,1.5000,500,7,6,0,rbsor,ok,11.3200,11.4200,11.3600,11.4200,11.3941,11.4013,0.0413,PASS,13030,31.10,6,36,built,PASS,
CKT_0062,Hard,16,4,15,0.998220,1.5000,800,8,8,0,jacobi,divergence pred50=1.2800 pred100=2.7500,1.2800,2.7500,3.2500,3.3391,3.8280,5.0088,1.7588,FAIL,25636,59.53,5,36,built,FAIL,
CKT_0063,Hard,16,4,15,0.999829,1.5000,500,8,8,0,rbsor,ok,0.0000,0.0000,0.0000,0.0000,0.0686,0.2298,0.2298,FAIL,16036,38.07,6,36,built,FAIL,
CKT_0064,Hard,17,4,16,0.999912,1.5000,850,9,8,0,jacobi,divergence pred50=2.3300 pred100=4.4600,2.3300,4.4600,5.5700,5.3167,5.8617,8.9905,3.4205,FAIL,28938,66.30,5,36,built,FAIL,
CKT_0065,Hard,11,4,6,0.943437,1.5000,550,5,6,5,jacobi,conflicts=5,,,10.1700,10.1860,10.1860,10.1916,0.0216,PASS,12126,27.72,5,36,built,PASS,
CKT_0066,Hard,13,4,6,0.985660,1.5000,650,7,6,6,jacobi,conflicts=6,,,12.4100,12.4165,12.4165,12.4153,0.0053,PASS,16930,38.80,5,36,built,PASS,
CKT_0067,Hard,11,4,6,0.854236,1.3159,550,5,6,5,jacobi,conflicts=5,,,21.2400,21.2575,21.2575,21.2617,0.0217,PASS,12126,27.77,5,36,built,PASS,
CKT_0068,Hard,13,4,6,0.863106,1.3289,650,7,6,6,jacobi,conflicts=6,,,23.9900,23.9999,23.9999,24.0,0.0100,PASS,16930,38.76,5,36,built,PASS,
CKT_0069,Hard,11,4,6,0.905907,1.4050,550,5,6,5,jacobi,conflicts=5,,,6.7100,6.7340,6.7340,6.7311,0.0211,PASS,12126,27.72,5,36,built,PASS,
CKT_0070,Hard,7,6,4,0.687908,1.1589,500,2,5,7,jacobi,conflicts=7,,,0.0100,0.0219,0.0219,0.0221,0.0121,PASS,7018,16.05,5,36,built,PASS,
CKT_0071,Hard,8,6,5,0.676843,1.1520,500,2,6,8,jacobi,conflicts=8,,,9.0000,9.0000,9.0000,9.0,0.0000,PASS,8020,18.38,5,36,built,PASS,
CKT_0072,Hard,7,6,4,0.904789,1.4027,500,2,5,7,jacobi,conflicts=7,,,1.8000,1.8000,1.8000,1.8,0.0000,PASS,7018,16.01,5,36,built,PASS,
CKT_0073,Hard,8,6,5,0.449080,1.0562,500,2,6,8,jacobi,conflicts=8,,,1.8200,1.8221,1.8221,1.8238,0.0038,PASS,8020,18.24,5,36,built,PASS,
CKT_0074,Hard,7,6,4,0.000943,1.0000,500,2,5,7,jacobi,conflicts=7,,,3.3000,3.3000,3.3000,3.3,0.0000,PASS,7018,16.25,5,36,built,PASS,
CKT_0075,Hard,10,6,5,0.999378,1.5000,500,5,5,5,jacobi,conflicts=5,,,2.3300,1.8132,3.2231,7.1181,4.7881,FAIL,10024,23.10,5,36,built,FAIL,
CKT_0076,Hard,10,6,5,0.994225,1.5000,500,4,6,7,jacobi,conflicts=7,,,0.6200,0.8728,0.9212,0.906,0.2860,FAIL,10024,22.94,5,36,built,FAIL,
CKT_0077,Hard,10,6,5,0.992545,1.5000,500,5,5,7,jacobi,conflicts=7,,,9.0000,9.0000,9.0000,9.0,0.0000,PASS,10024,23.29,5,36,built,PASS,
CKT_0078,Hard,10,6,5,0.741072,1.1966,500,6,4,9,jacobi,conflicts=9,,,7.0800,7.0838,7.0838,7.084,0.0040,PASS,10024,23.04,5,36,built,PASS,
CKT_0079,Hard,10,6,5,0.221776,1.0126,500,4,6,8,jacobi,conflicts=8,,,3.3000,3.3000,3.3000,3.3,0.0000,PASS,10024,23.05,5,36,built,PASS,
CKT_0080,Hard,17,15,6,0.997784,1.5000,850,2,15,14,jacobi,conflicts=14,,,4.9300,4.9314,4.9314,4.9311,0.0011,PASS,28938,66.53,5,36,built,PASS,
CKT_0081,Hard,17,15,6,0.999987,1.5000,850,2,15,14,jacobi,conflicts=14,,,4.7000,4.7122,4.7122,4.7176,0.0176,PASS,28938,66.96,5,36,built,PASS,
CKT_0082,Hard,17,15,6,0.933507,1.4721,850,2,15,14,jacobi,conflicts=14,,,2.4000,2.3982,2.3982,2.3987,0.0013,PASS,28938,67.00,5,36,built,PASS,
CKT_0083,Hard,17,15,6,0.595201,1.1089,850,2,15,14,jacobi,conflicts=14,,,15.0000,15.0000,15.0000,14.9996,0.0004,PASS,28938,66.50,5,36,built,PASS,
CKT_0084,Hard,21,4,20,0.997524,1.5000,1050,11,10,0,jacobi,divergence pred50=7.4600 pred100=11.1000,7.4600,11.1000,13.4300,13.1582,13.1582,14.2707,0.8407,FAIL,44146,101.68,5,36,built,FAIL,
CKT_0085,Hard,21,4,20,0.999324,1.5000,500,11,10,0,rbsor,ok,0.4400,0.9400,1.6700,1.6700,1.3920,2.7688,1.0988,FAIL,21046,50.07,6,36,built,FAIL,
CKT_0086,Hard,25,4,24,0.999662,1.5000,500,13,12,0,rbsor,ok,0.0000,0.0000,0.0000,0.0000,1.1988,4.6575,4.6575,FAIL,25054,59.30,6,36,built,FAIL,
CKT_0087,Hard,25,4,24,0.999814,1.5000,500,13,12,0,rbsor,ok,0.7400,1.7400,7.5600,7.7800,3.7002,20.0725,12.5125,FAIL,25054,59.59,6,36,built,FAIL,
CKT_0088,Hard,26,4,25,0.999194,1.5000,500,13,13,0,rbsor,ok,3.7600,4.5500,4.7900,4.7900,4.8591,4.9738,0.1838,FAIL,26056,61.44,6,36,built,FAIL,
CKT_0089,Hard,17,4,8,0.987762,1.5000,850,9,8,8,jacobi,conflicts=8,,,3.4900,3.4946,3.4946,3.4927,0.0027,PASS,28938,66.18,5,36,built,PASS,
CKT_0090,Hard,19,4,10,0.997375,1.5000,950,9,10,9,jacobi,conflicts=9,,,4.7600,4.8449,4.8577,4.9572,0.1972,FAIL,36142,82.60,5,36,built,FAIL,
CKT_0091,Hard,17,4,8,0.977300,1.5000,850,9,8,8,jacobi,conflicts=8,,,13.2900,13.4163,13.4163,13.3976,0.1076,FAIL,28938,66.25,5,36,built,FAIL,
CKT_0092,Hard,19,4,10,0.891662,1.3767,950,9,10,9,jacobi,conflicts=9,,,15.0300,15.0483,15.0483,15.0485,0.0185,PASS,36142,83.27,5,36,built,PASS,
CKT_0093,Hard,17,4,8,0.999937,1.5000,850,9,8,8,jacobi,conflicts=8,,,0.0000,0.4853,0.5678,10.8352,10.8352,FAIL,28938,66.83,5,36,built,FAIL,
CKT_0094,Hard,10,8,6,0.791247,1.2411,500,2,8,11,jacobi,conflicts=11,,,4.1500,4.1495,4.1495,4.1475,0.0025,PASS,10024,23.29,5,36,built,PASS,
CKT_0095,Hard,11,9,6,0.907965,1.4094,550,2,9,13,jacobi,conflicts=13,,,1.8000,1.8000,1.8000,1.8,0.0000,PASS,12126,27.91,5,36,built,PASS,
CKT_0096,Hard,10,8,6,0.984289,1.5000,500,2,8,11,jacobi,conflicts=11,,,11.2100,11.2835,11.2867,11.3191,0.1091,FAIL,10024,22.97,5,36,built,FAIL,
CKT_0097,Hard,11,9,6,0.734518,1.1915,550,2,9,13,jacobi,conflicts=13,,,4.2800,4.2771,4.2771,4.2758,0.0042,PASS,12126,27.85,5,36,built,PASS,
CKT_0098,Hard,10,8,6,0.829958,1.2838,500,2,8,11,jacobi,conflicts=11,,,9.1900,9.2020,9.2020,9.202,0.0120,PASS,10024,23.03,5,36,built,PASS,
CKT_0099,Hard,14,7,7,0.912959,1.4204,700,6,8,11,jacobi,conflicts=11,,,1.7900,1.8290,1.8290,1.8308,0.0408,PASS,19632,45.18,5,36,built,PASS,
CKT_0100,Hard,14,6,7,0.972341,1.5000,700,6,8,8,jacobi,conflicts=8,,,5.0000,5.0000,5.0000,5.0,0.0000,PASS,19632,45.59,5,36,built,PASS,
CKT_0101,Hard,14,6,7,0.981348,1.5000,700,8,6,12,jacobi,conflicts=12,,,2.5000,2.6446,2.6446,2.6478,0.1478,FAIL,19632,45.48,5,36,built,FAIL,
CKT_0102,Hard,14,7,7,0.404950,1.0447,700,8,6,11,jacobi,conflicts=11,,,10.8600,10.8638,10.8638,10.8656,0.0056,PASS,19632,45.10,5,36,built,PASS,
CKT_0103,Hard,14,8,7,0.921822,1.4413,700,7,7,8,jacobi,conflicts=8,,,8.6400,8.6453,8.6453,8.6457,0.0057,PASS,19632,45.24,5,36,built,PASS,
CKT_0104,Hard,22,20,7,0.856898,1.3197,1100,2,20,19,jacobi,conflicts=19,,,15.0000,15.0000,15.0000,15.0,0.0000,PASS,48448,112.28,5,36,built,PASS,
CKT_0105,Hard,22,20,7,0.787881,1.2378,1100,2,20,19,jacobi,conflicts=19,,,0.0600,0.0598,0.0598,0.0601,0.0001,PASS,48448,110.99,5,36,built,PASS,
CKT_0106,Hard,22,20,7,0.868353,1.3369,1100,2,20,19,jacobi,conflicts=19,,,11.7900,11.7931,11.7931,11.7927,0.0027,PASS,48448,110.75,5,36,built,PASS,
CKT_0107,Hard,31,4,30,0.997529,1.5000,500,16,15,0,rbsor,ok,0.6600,1.4400,1.8100,1.8100,2.1511,2.2513,0.4413,FAIL,31066,73.26,6,36,built,FAIL,
CKT_0108,Hard,31,4,30,0.999795,1.5000,500,16,15,0,rbsor,ok,0.0000,0.0000,0.0000,0.0000,0.7525,3.8495,3.8495,FAIL,31066,74.23,6,36,built,FAIL,
CKT_0109,Hard,36,4,35,0.999980,1.5000,500,18,18,0,rbsor,ok,0.0000,0.0000,0.0000,0.0000,0.0000,4.1397,4.1397,FAIL,36076,86.72,6,36,built,FAIL,
CKT_0110,Hard,36,4,35,0.999959,1.5000,500,18,18,0,rbsor,ok,0.0000,0.0000,0.1100,0.0000,0.1934,5.2916,5.1816,FAIL,36076,86.86,6,36,built,FAIL,
CKT_0111,Hard,37,4,36,0.999365,1.5000,1850,19,18,0,jacobi,divergence pred50=2.8400 pred100=3.9700,2.8400,3.9700,4.3100,5.0856,5.0856,5.7196,1.4096,FAIL,136978,332.77,5,36,built,FAIL,
CKT_0112,Hard,23,4,12,0.999862,1.5000,1150,11,12,11,jacobi,conflicts=11,,,11.9700,11.9963,11.9963,11.9984,0.0284,PASS,52950,128.29,5,36,built,PASS,
CKT_0113,Hard,25,4,12,0.999905,1.5000,1250,13,12,12,jacobi,conflicts=12,,,8.9900,8.9913,8.9913,8.995,0.0050,PASS,62554,143.09,5,36,built,PASS,
CKT_0114,Hard,23,4,12,0.968120,1.5000,1150,11,12,11,jacobi,conflicts=11,,,5.0000,4.9990,4.9990,4.9991,0.0009,PASS,52950,121.37,5,36,built,PASS,
CKT_0115,Hard,25,4,12,0.997402,1.5000,1250,13,12,12,jacobi,conflicts=12,,,22.2800,22.1544,22.1544,23.6344,1.3544,FAIL,62554,144.05,5,36,built,FAIL,
CKT_0116,Hard,23,4,12,0.996926,1.5000,1150,11,12,11,jacobi,conflicts=11,,,8.8200,8.8271,8.8271,8.8276,0.0076,PASS,52950,121.82,5,36,built,PASS,
CKT_0117,Hard,13,11,7,0.126208,1.0040,650,2,11,16,jacobi,conflicts=16,,,0.0500,0.0487,0.0487,0.0487,0.0013,PASS,16930,38.78,5,36,built,PASS,
CKT_0118,Hard,14,12,8,0.304435,1.0243,700,2,12,17,jacobi,conflicts=17,,,3.3000,3.3047,3.3047,3.3037,0.0037,PASS,19632,44.95,5,36,built,PASS,
CKT_0119,Hard,13,11,7,0.766500,1.2178,650,2,11,16,jacobi,conflicts=16,,,0.0200,0.0237,0.0237,0.0237,0.0037,PASS,16930,38.74,5,36,built,PASS,
CKT_0120,Hard,14,12,8,0.649970,1.1364,700,2,12,17,jacobi,conflicts=17,,,3.4300,3.4383,3.4383,3.4379,0.0079,PASS,19632,45.20,5,36,built,PASS,
CKT_0121,Hard,13,11,7,0.496118,1.0705,650,2,11,16,jacobi,conflicts=16,,,1.1900,1.1893,1.1893,1.188,0.0020,PASS,16930,39.40,5,36,built,PASS,
CKT_0122,Hard,18,8,9,0.971758,1.5000,900,11,7,13,jacobi,conflicts=13,,,5.5700,6.1175,6.1175,6.1243,0.5543,FAIL,32440,75.08,5,36,built,FAIL,
CKT_0123,Hard,18,9,9,0.982621,1.5000,900,10,8,10,jacobi,conflicts=10,,,0.4800,0.4958,0.4958,0.497,0.0170,PASS,32440,74.73,5,36,built,PASS,
CKT_0124,Hard,18,6,9,0.902033,1.3970,900,9,9,7,jacobi,conflicts=7,,,7.4100,7.4082,7.4082,7.4091,0.0009,PASS,32440,74.56,5,36,built,PASS,
CKT_0125,Hard,18,8,9,0.997947,1.5000,900,9,9,8,jacobi,conflicts=8,,,5.7900,7.4961,7.7575,9.3061,3.5161,FAIL,32440,74.16,5,36,built,FAIL,
CKT_0126,Hard,18,7,9,0.995116,1.5000,900,10,8,12,jacobi,conflicts=12,,,12.2900,12.5702,12.6013,12.6372,0.3472,FAIL,32440,74.08,5,36,built,FAIL,
CKT_0127,Hard,27,25,9,0.892709,1.3787,1350,2,25,24,jacobi,conflicts=24,,,21.0100,21.0188,21.0188,21.0205,0.0105,PASS,72958,167.53,5,36,built,PASS,
CKT_0128,Hard,27,25,9,0.999715,1.5000,1350,2,25,24,jacobi,conflicts=24,,,0.0300,0.0260,0.0260,0.026,0.0040,PASS,72958,168.09,5,36,built,PASS,
CKT_0129,Hard,43,4,42,0.999630,1.5000,500,22,21,0,rbsor,ok,0.8900,1.8800,0.0000,7.3300,5.6033,8.8102,8.8102,FAIL,43090,102.75,6,36,built,FAIL,
CKT_0130,Hard,43,4,42,0.999653,1.5000,2150,22,21,0,jacobi,divergence pred50=11.9600 pred100=15.3700,11.9600,15.3700,20.0000,20.7376,20.7376,23.6201,3.6201,FAIL,184990,425.38,5,36,built,FAIL,
CKT_0131,Hard,49,4,48,0.999123,1.5000,2450,25,24,0,jacobi,divergence pred50=3.4700 pred100=6.0500,3.4700,6.0500,12.1500,12.4988,12.4988,14.0817,1.9317,FAIL,240202,557.09,5,36,built,FAIL,
CKT_0132,Hard,49,4,48,0.999932,1.5000,500,25,24,0,rbsor,ok,0.0000,0.0000,0.7400,0.0000,0.9144,7.9791,7.2391,FAIL,49102,117.45,6,36,built,FAIL,
CKT_0133,Hard,50,4,49,0.999977,1.5000,500,25,25,0,rbsor,ok,0.0000,0.0000,0.0000,0.0000,0.0026,6.976,6.9760,FAIL,50104,119.96,6,36,built,FAIL,
CKT_0134,Hard,29,4,14,0.997081,1.5000,1450,15,14,14,jacobi,conflicts=14,,,11.9200,11.9902,11.9902,11.995,0.0750,FAIL,84162,193.50,5,36,built,FAIL,
CKT_0135,Hard,31,4,16,0.999395,1.5000,1550,15,16,15,jacobi,conflicts=15,,,14.9700,14.9693,14.9693,14.9694,0.0006,PASS,96166,221.30,5,36,built,PASS,
CKT_0136,Hard,29,4,14,0.999644,1.5000,1450,15,14,14,jacobi,conflicts=14,,,1.1200,3.8569,3.8569,11.3129,10.1929,FAIL,84162,200.01,5,36,built,FAIL,
CKT_0137,Hard,31,4,16,0.999662,1.5000,1550,15,16,15,jacobi,conflicts=15,,,1.7800,1.8407,1.8407,1.8463,0.0663,FAIL,96166,226.43,5,36,built,FAIL,
CKT_0138,Hard,29,4,14,0.999580,1.5000,1450,15,14,14,jacobi,conflicts=14,,,8.0200,6.4868,6.4868,11.7056,3.6856,FAIL,84162,205.61,5,36,built,FAIL,
