circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time_s,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0042,6,1000,5,44,26,22,495,99440,800606,0.367,0.807,120.548,0.05,0.0603,0.0103,6010,120.548,,PASS
CKT_0043,6,1000,5,44,26,22,495,99440,800606,0.393,0.79,114.584,7.7,7.6841,0.0159,6010,114.584,,PASS
CKT_0044,6,1000,5,44,26,22,495,99440,800606,0.357,0.757,111.633,0.1,0.0798,0.0202,6010,111.633,,PASS
CKT_0045,6,1000,5,44,26,22,495,99440,800606,0.368,0.808,119.621,3.0,3.0,0.0,6010,119.621,,PASS
CKT_0046,6,1000,5,44,26,22,495,99440,800606,0.412,0.814,120.569,0.05,0.0352,0.0148,6010,120.569,,PASS
CKT_0047,6,1000,5,44,26,22,495,99440,800606,0.354,0.747,105.937,3.25,3.2289,0.0211,6010,105.937,,PASS
CKT_0048,6,1000,5,44,26,22,495,99440,800606,0.371,0.818,113.745,1.5,1.5197,0.0197,6010,113.745,,PASS
CKT_0049,6,1000,5,44,26,22,495,99440,800606,0.393,0.791,115.231,0.95,0.9619,0.0119,6010,115.231,,PASS
CKT_0050,5,1000,5,44,26,22,493,99264,799180,0.369,0.776,74.619,1.8,1.782,0.018,5009,74.619,,PASS
CKT_0051,5,1000,5,44,26,22,493,99264,799180,0.368,0.778,71.882,2.0,2.0162,0.0162,5009,71.882,,PASS
CKT_0052,5,1000,5,44,26,22,493,99264,799180,0.364,0.809,74.089,1.4,1.4137,0.0137,5009,74.089,,PASS
CKT_0053,5,1000,5,44,26,22,493,99264,799180,0.401,0.802,80.76,1.3,1.2977,0.0023,5009,80.76,,PASS
CKT_0054,5,1000,5,44,26,22,493,99264,799180,0.401,0.81,79.859,2.2,2.1968,0.0032,5009,79.859,,PASS
CKT_0055,12,1000,5,44,26,22,507,100496,809166,0.364,0.771,504.111,0.2,0.2155,0.0155,12016,504.111,,PASS
CKT_0056,12,1000,5,44,26,22,507,100496,809166,0.371,0.768,483.07,12.0,12.0,0.0,12016,483.07,,PASS
CKT_0057,12,1000,5,44,26,22,507,100496,809166,0.355,0.752,490.904,7.55,7.567,0.017,12016,490.904,,PASS
CKT_0058,12,1000,5,44,26,22,507,100496,809166,0.361,0.794,487.584,3.3,3.3,0.0,12016,487.584,,PASS
CKT_0059,12,1000,5,44,26,22,507,100496,809166,0.387,0.788,462.79,0.05,0.066,0.016,12016,462.79,,PASS
CKT_0060,13,1000,5,44,26,22,509,100672,810594,0.402,0.8,561.444,17.1,17.1311,0.0311,13017,561.444,,PASS
CKT_0061,13,1000,5,44,26,22,509,100672,810594,0.37,0.778,570.122,11.4,11.4013,0.0013,13017,570.122,,PASS
CKT_0062,16,1000,5,44,26,22,515,101200,814878,0.362,0.768,875.176,3.85,5.0088,1.1588,16020,875.176,,FAIL
CKT_0063,16,1000,5,44,26,22,515,101200,814878,0.367,0.82,858.492,0.1,0.2298,0.1298,16020,858.492,,FAIL
CKT_0064,17,1000,5,44,26,22,517,101376,816306,0.388,0.789,980.196,5.9,8.9905,3.0905,17021,980.196,,FAIL
CKT_0065,11,1000,5,44,26,22,505,100320,807738,0.369,0.81,396.321,10.2,10.1916,0.0084,11015,396.321,,PASS
CKT_0066,13,1000,5,44,26,22,509,100672,810594,0.376,0.794,558.871,12.4,12.4153,0.0153,13017,558.871,,PASS
CKT_0067,11,1000,5,44,26,22,505,100320,807738,0.37,0.81,399.587,21.25,21.2617,0.0117,11015,399.587,,PASS
CKT_0068,13,1000,5,44,26,22,509,100672,810594,0.374,0.795,556.862,23.95,24.0,0.05,13017,556.862,,FAIL
CKT_0069,11,1000,5,44,26,22,505,100320,807738,0.371,0.783,400.668,6.75,6.7311,0.0189,11015,400.668,,PASS
CKT_0070,7,1000,5,44,26,22,497,99616,802032,0.372,0.782,163.089,0.0,0.0221,0.0221,7011,163.089,,PASS
CKT_0071,8,1000,5,44,26,22,499,99792,803458,0.378,0.828,209.413,9.0,9.0,0.0,8012,209.413,,PASS
CKT_0072,7,1000,5,44,26,22,497,99616,802032,0.355,0.749,162.819,1.8,1.8,0.0,7011,162.819,,PASS
CKT_0073,8,1000,5,44,26,22,499,99792,803458,0.36,0.803,212.131,1.8,1.8238,0.0238,8012,212.131,,PASS
CKT_0074,7,1000,5,44,26,22,497,99616,802032,0.356,0.76,153.102,3.3,3.3,0.0,7011,153.102,,PASS
CKT_0075,10,1000,5,44,26,22,503,100144,806310,0.369,0.815,309.837,3.25,7.1181,3.8681,10014,309.837,,FAIL
CKT_0076,10,1000,5,44,26,22,503,100144,806310,0.36,0.76,326.136,0.95,0.906,0.044,10014,326.136,,PASS
CKT_0077,10,1000,5,44,26,22,503,100144,806310,0.388,0.787,324.158,9.0,9.0,0.0,10014,324.158,,PASS
CKT_0078,10,1000,5,44,26,22,503,100144,806310,0.405,0.819,329.742,7.1,7.084,0.016,10014,329.742,,PASS
CKT_0079,10,1000,5,44,26,22,503,100144,806310,0.369,0.811,332.254,3.3,3.3,0.0,10014,332.254,,PASS
CKT_0080,17,1000,5,44,26,22,517,101376,816306,0.399,0.841,1116.776,4.95,4.9311,0.0189,17021,1116.776,,PASS
