circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time,skipped_existing,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0039,5,1000,5,44,26,22,493,99264,799180,0.508,0.976,2.993,False,1000,18.1,18.2062,0.1062,5009,2.993,,FAIL
CKT_0040,5,1000,5,44,26,22,493,99264,799180,0.416,0.942,3.169,False,1000,3.25,3.2548,0.0048,5009,3.169,,PASS
CKT_0041,5,1000,5,44,26,22,493,99264,799180,0.414,0.883,3.072,False,1000,4.65,4.6532,0.0032,5009,3.072,,PASS
CKT_0042,6,1000,5,44,26,22,495,99440,800606,0.421,0.95,3.554,False,1000,0.05,0.0603,0.0103,6010,3.554,,PASS
CKT_0043,6,1000,5,44,26,22,495,99440,800606,0.377,0.843,3.723,False,1000,7.65,7.6841,0.0341,6010,3.723,,PASS
CKT_0044,6,1000,5,44,26,22,495,99440,800606,0.39,0.945,3.644,False,1000,0.1,0.0798,0.0202,6010,3.644,,PASS
CKT_0045,6,1000,5,44,26,22,495,99440,800606,0.425,0.89,3.741,False,1000,3.0,3.0,0.0,6010,3.741,,PASS
CKT_0046,6,1000,5,44,26,22,495,99440,800606,0.46,0.93,3.751,False,1000,0.05,0.0352,0.0148,6010,3.751,,PASS
CKT_0047,6,1000,5,44,26,22,495,99440,800606,0.386,0.816,3.887,False,1000,3.25,3.2289,0.0211,6010,3.887,,PASS
CKT_0048,6,1000,5,44,26,22,495,99440,800606,0.468,0.937,3.965,False,1000,1.5,1.5197,0.0197,6010,3.965,,PASS
CKT_0049,6,1000,5,44,26,22,495,99440,800606,0.393,0.949,3.722,False,1000,0.95,0.9619,0.0119,6010,3.722,,PASS
CKT_0050,5,1000,5,44,26,22,493,99264,799180,0.418,0.889,3.102,False,1000,1.8,1.782,0.018,5009,3.102,,PASS
CKT_0051,5,1000,5,44,26,22,493,99264,799180,0.431,0.996,3.007,False,1000,2.0,2.0162,0.0162,5009,3.007,,PASS
CKT_0052,5,1000,5,44,26,22,493,99264,799180,0.417,0.852,3.034,False,1000,1.4,1.4137,0.0137,5009,3.034,,PASS
CKT_0053,5,1000,5,44,26,22,493,99264,799180,0.373,0.901,3.284,False,1000,1.3,1.2977,0.0023,5009,3.284,,PASS
CKT_0054,5,1000,5,44,26,22,493,99264,799180,0.43,0.915,3.27,False,1000,2.2,2.1968,0.0032,5009,3.27,,PASS
CKT_0055,12,1000,5,44,26,22,507,100496,809166,0.502,0.981,7.61,False,1000,0.2,0.2155,0.0155,12016,7.61,,PASS
