method,mean_head_F1,mean_head_AUROC,mean_faithfulness_max_err,mean_minimality,n_circuits
1_oracle,0.8333333333333334,1.0,251235.26546030745,0.10479202490589283,6
2_acdc_greedy,0.8333333333333334,1.0,251235.26546030745,0.10479202490589283,6
3_attn_argmax,0.691537139331257,nan,2.048257859617782e-11,0.1675755220204113,6
4_atp,0.8308457711442786,nan,2.048257859617782e-11,0.10534207991139337,6
