circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0041,Intermediate,5,1000,0.05,4.6500,4.6532,0.0032,PASS,4.6524,0.683515,6.1188e+00,10014,2072.3,
CKT_0042,Intermediate,6,1000,0.05,0.0500,0.0603,0.0103,PASS,0.0600,0.581195,5.5204e+00,12016,2503.4,
CKT_0043,Intermediate,6,1000,0.05,5.6500,7.6841,2.0341,FAIL,7.6914,0.990518,2.4866e+02,12016,2485.8,
CKT_0044,Intermediate,6,1000,0.05,0.0500,0.0798,0.0298,PASS,0.0794,0.839639,1.6377e+01,12016,2498.5,
CKT_0045,Intermediate,6,1000,0.05,3.0000,3.0,0.0000,PASS,3.0007,0.582132,7.9943e+00,12016,2517.7,
CKT_0046,Intermediate,6,1000,0.05,0.0000,0.0352,0.0352,PASS,0.0351,0.947256,3.8462e+01,12016,2532.4,
CKT_0047,Intermediate,6,1000,0.05,3.1500,3.2289,0.0789,FAIL,3.2303,0.945933,5.1996e+01,12016,2495.6,
CKT_0048,Intermediate,6,1000,0.05,1.4500,1.5197,0.0697,FAIL,1.5185,0.870986,1.7688e+01,12016,2508.9,
CKT_0049,Intermediate,6,1000,0.05,0.9500,0.9619,0.0119,PASS,0.9619,0.792532,1.5879e+01,12016,2492.8,
CKT_0050,Intermediate,5,1000,0.05,1.8000,1.782,0.0180,PASS,1.7818,0.021058,2.0733e+00,10014,2072.5,
CKT_0051,Intermediate,5,1000,0.05,2.0000,2.0162,0.0162,PASS,2.0156,0.109726,1.2676e+00,10014,2106.2,
CKT_0052,Intermediate,5,1000,0.05,1.3000,1.4137,0.1137,FAIL,1.4134,0.927225,2.6560e+01,10014,2078.1,
CKT_0053,Intermediate,5,1000,0.05,1.0500,1.2977,0.2477,FAIL,1.3016,0.901149,1.9405e+01,10014,2100.2,
CKT_0054,Intermediate,5,1000,0.05,2.2000,2.1968,0.0032,PASS,2.1968,0.114891,3.2713e+00,10014,2069.3,
CKT_0055,Hard,12,1000,0.05,0.2000,0.2155,0.0155,PASS,0.2156,0.967479,3.3672e+04,24028,5034.1,
CKT_0056,Hard,12,1000,0.05,12.0000,12.0,0.0000,PASS,12.0000,0.886395,6.2553e+02,24028,5059.0,
CKT_0057,Hard,12,1000,0.05,7.5500,7.567,0.0170,PASS,7.5675,0.584826,1.2520e+02,24028,5097.9,
CKT_0058,Hard,12,1000,0.05,3.3000,3.3,0.0000,PASS,3.3000,0.995372,4.9491e+02,24028,5098.8,
CKT_0059,Hard,12,1000,0.05,0.0500,0.066,0.0160,PASS,0.0672,0.999918,3.0477e+04,24028,5085.7,
CKT_0060,Hard,13,1000,0.05,16.5500,17.1311,0.5811,FAIL,17.0850,0.991785,5.2212e+04,26030,5534.6,
CKT_0061,Hard,13,1000,0.05,10.2500,11.4013,1.1513,FAIL,11.3941,0.984967,2.8901e+03,26030,5535.8,
CKT_0062,Hard,16,1000,0.05,0.0000,5.0088,5.0088,FAIL,3.8280,0.998220,2.5183e+03,32036,6898.9,
CKT_0063,Hard,16,1000,0.05,0.0000,0.2298,0.2298,FAIL,0.0686,0.999829,1.1756e+04,32036,6863.2,
CKT_0064,Hard,17,1000,0.05,2.1000,8.9905,6.8905,FAIL,5.8617,0.999912,1.0967e+05,34038,7271.0,
CKT_0065,Hard,11,1000,0.05,9.8500,10.1916,0.3416,FAIL,10.1860,0.943437,7.9021e+01,22026,4704.8,
CKT_0066,Hard,13,1000,0.05,12.4000,12.4153,0.0153,PASS,12.4165,0.985660,2.8104e+02,26030,5590.4,
CKT_0067,Hard,11,1000,0.05,21.2000,21.2617,0.0617,FAIL,21.2575,0.854236,6.0384e+01,22026,4712.4,
CKT_0068,Hard,13,1000,0.05,23.9500,24.0,0.0500,FAIL,23.9999,0.863106,6.2171e+03,26030,5656.9,
CKT_0069,Hard,11,1000,0.05,6.6000,6.7311,0.1311,FAIL,6.7340,0.905907,3.0431e+02,22026,4691.1,
CKT_0070,Hard,7,1000,0.05,0.0000,0.0221,0.0221,PASS,0.0219,0.687908,3.2977e+02,14018,2906.9,
CKT_0071,Hard,8,1000,0.05,9.0000,9.0,0.0000,PASS,9.0000,0.676843,3.2825e+03,16020,3341.1,
CKT_0072,Hard,7,1000,0.05,1.8000,1.8,0.0000,PASS,1.8000,0.904789,2.0071e+01,14018,2912.3,
CKT_0073,Hard,8,1000,0.05,1.8000,1.8238,0.0238,PASS,1.8221,0.449080,6.0817e+01,16020,3414.5,
CKT_0074,Hard,7,1000,0.05,3.3000,3.3,0.0000,PASS,3.3000,0.000943,3.0871e+03,14018,2952.3,
CKT_0075,Hard,10,1000,0.05,0.0000,7.1181,7.1181,FAIL,3.2231,0.999378,1.6048e+04,20024,4196.3,
CKT_0076,Hard,10,1000,0.05,0.0000,0.906,0.9060,FAIL,0.9212,0.994225,4.3184e+02,20024,4168.5,
CKT_0077,Hard,10,1000,0.05,9.0000,9.0,0.0000,PASS,9.0000,0.992545,1.1127e+04,20024,4241.8,
CKT_0078,Hard,10,1000,0.05,7.1000,7.084,0.0160,PASS,7.0838,0.741072,1.0686e+02,20024,4170.1,
CKT_0079,Hard,10,1000,0.05,3.3000,3.3,0.0000,PASS,3.3000,0.221776,1.4695e+01,20024,4199.8,
CKT_0080,Hard,17,1000,0.05,4.9500,4.9311,0.0189,PASS,4.9314,0.997784,8.8043e+03,34038,7377.7,
CKT_0081,Hard,17,1000,0.05,4.7000,4.7176,0.0176,PASS,4.7122,0.999987,1.5668e+05,34038,7292.2,
CKT_0082,Hard,17,1000,0.05,2.4000,2.3987,0.0013,PASS,2.3982,0.933507,1.3772e+05,34038,7234.5,
CKT_0083,Hard,17,1000,0.05,15.0000,14.9996,0.0004,PASS,15.0000,0.595201,2.3936e+03,34038,7280.4,
CKT_0084,Hard,21,1050,0.05,9.2000,14.2707,5.0707,FAIL,13.1582,0.997524,1.5160e+04,44146,9729.1,
CKT_0085,Hard,21,1050,0.05,0.0000,2.7688,2.7688,FAIL,1.3920,0.999324,6.6020e+03,44146,9543.3,
CKT_0086,Hard,25,1250,0.05,0.0000,4.6575,4.6575,FAIL,1.1988,0.999662,3.4827e+04,62554,13692.0,
CKT_0087,Hard,25,1250,0.05,0.0000,20.0725,20.0725,FAIL,3.7002,0.999814,5.7790e+04,62554,13840.4,
CKT_0088,Hard,26,1300,0.05,2.9000,4.9738,2.0738,FAIL,4.8591,0.999194,1.6964e+04,67656,14830.4,
CKT_0089,Hard,17,1000,0.05,3.4000,3.4927,0.0927,FAIL,3.4946,0.987762,5.6882e+03,34038,7420.9,
CKT_0090,Hard,19,1000,0.05,3.8000,4.9572,1.1572,FAIL,4.8577,0.997375,6.5033e+03,38042,8167.5,
CKT_0091,Hard,17,1000,0.05,12.8000,13.3976,0.5976,FAIL,13.4163,0.977300,4.3895e+03,34038,7396.1,
CKT_0092,Hard,19,1000,0.05,14.9500,15.0485,0.0985,FAIL,15.0483,0.891662,2.7374e+03,38042,8220.0,
