circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,skipped_existing
CKT_0081,17,1000,5,36,20,,518,74016,597386,,0.4948241710662842,False
CKT_0082,17,1000,5,36,20,,518,74016,597386,,0.5448019504547119,False
CKT_0083,17,1000,5,36,20,,518,74016,597386,,0.5131053924560547,False
CKT_0084,21,1050,5,36,20,,526,74592,602090,,0.5117478370666504,False
CKT_0085,21,1050,5,36,20,,526,74592,602090,,0.5487301349639893,False
CKT_0086,25,1250,5,36,20,,534,75168,606794,,0.5182693004608154,False
CKT_0087,25,1250,5,36,20,,534,75168,606794,,0.5060770511627197,False
CKT_0088,26,1300,5,36,20,,536,75312,607970,,0.5163254737854004,False
CKT_0089,17,1000,5,36,20,,518,74016,597386,,0.5419600009918213,False
CKT_0090,19,1000,5,36,20,,522,74304,599738,,0.5122606754302979,False
CKT_0091,17,1000,5,36,20,,518,74016,597386,,0.539013147354126,False
CKT_0092,19,1000,5,36,20,,522,74304,599738,,0.5594441890716553,False
CKT_0093,17,1000,5,36,20,,518,74016,597386,,0.564814567565918,False
CKT_0094,10,1000,5,36,20,,504,73008,589154,,0.5114011764526367,False
CKT_0095,11,1000,5,36,20,,506,73152,590330,,0.5189435482025146,False
CKT_0096,10,1000,5,36,20,,504,73008,589154,,0.5536067485809326,False
CKT_0097,11,1000,5,36,20,,506,73152,590330,,0.5141847133636475,False
CKT_0098,10,1000,5,36,20,,504,73008,589154,,0.5052566528320312,False
CKT_0099,14,1000,5,36,20,,512,73584,593858,,0.5534186363220215,False
CKT_0100,14,1000,5,36,20,,512,73584,593858,,0.5074343681335449,False
CKT_0101,14,1000,5,36,20,,512,73584,593858,,0.5176339149475098,False
CKT_0102,14,1000,5,36,20,,512,73584,593858,,0.48831725120544434,False
CKT_0103,14,1000,5,36,20,,512,73584,593858,,0.5336260795593262,False
CKT_0104,22,1100,5,36,20,,528,74736,603266,,0.4959077835083008,False
CKT_0105,22,1100,5,36,20,,528,74736,603266,,0.5212790966033936,False
CKT_0106,22,1100,5,36,20,,528,74736,603266,,0.5543091297149658,False
CKT_0107,31,1550,5,36,20,,546,76032,613850,,0.5147950649261475,False
CKT_0108,31,1550,5,36,20,,546,76032,613850,,0.5177407264709473,False
CKT_0109,36,1800,5,36,20,,556,76752,619730,,0.512460470199585,False
CKT_0110,36,1800,5,36,20,,556,76752,619730,,0.5491187572479248,False
CKT_0111,37,1850,5,36,20,,558,76896,620906,,0.519650936126709,False
CKT_0112,23,1150,5,36,20,,530,74880,604442,,0.5073342323303223,False
CKT_0113,25,1250,5,36,20,,534,75168,606794,,0.5348434448242188,False
CKT_0114,23,1150,5,36,20,,530,74880,604442,,0.5138463973999023,False
CKT_0115,25,1250,5,36,20,,534,75168,606794,,0.4953131675720215,False
CKT_0116,23,1150,5,36,20,,530,74880,604442,,0.5066204071044922,False
CKT_0117,13,1000,5,36,20,,510,73440,592682,,0.5374600887298584,False
