circuit_id,complexity,N,num_resistors,num_fixed_nodes,T_used,pred_V_dsl,truth_V,abs_error,pass_fail,pred_V_transformer,transformer_matches_dsl,jacobi_ref_V,direct_solve_V,rho_M,kappa_A,seq_length,dsl_time_ms,transformer_time_ms,n_layers,d_model,d_ffn,vocab,model_size_bytes,error
CKT_0031,Intermediate,5,6,2,1000,3.0000,3.1534,0.1534,FAIL,,,3.1525,3.153430,0.9015830880,5.597838e+01,10014,2314.9,,5,36,20,494,583284,
CKT_0032,Intermediate,5,6,2,1000,2.5000,2.5535,0.0535,FAIL,,,2.5536,2.553520,0.7757224321,8.265003e+00,10014,2295.2,,5,36,20,494,583284,
CKT_0033,Intermediate,5,6,2,1000,18.8500,18.8788,0.0288,PASS,,,18.8795,18.878788,0.6190448523,1.066028e+01,10014,2922.6,,5,36,20,494,583284,
CKT_0034,Intermediate,5,5,2,1000,4.7000,4.6738,0.0262,PASS,,,4.6734,4.673805,0.6858891138,1.789330e+01,10014,3029.7,,5,36,20,494,583284,
CKT_0035,Intermediate,5,5,2,1000,1.7000,1.757,0.0570,FAIL,,,1.7567,1.756955,0.5943228895,2.202910e+01,10014,3012.4,,5,36,20,494,583284,
CKT_0036,Intermediate,5,5,2,1000,0.0000,0.0082,0.0082,PASS,,,0.0081,0.008177,0.1771771160,6.651529e+01,10014,3010.4,,5,36,20,494,583284,
CKT_0037,Intermediate,5,5,2,1000,2.6500,2.6664,0.0164,PASS,,,2.6662,2.666402,0.6323142233,1.924178e+01,10014,2957.3,,5,36,20,494,583284,
CKT_0038,Intermediate,5,4,3,1000,2.8000,2.7845,0.0155,PASS,,,2.7845,2.784490,0.0587248314,9.024119e+00,10014,2710.8,,5,36,20,494,583284,
CKT_0039,Intermediate,5,4,3,1000,18.1000,18.2062,0.1062,FAIL,,,18.2483,18.206201,0.9904053295,2.074542e+02,10014,2144.8,,5,36,20,494,583284,
CKT_0040,Intermediate,5,4,3,1000,3.2500,3.2548,0.0048,PASS,,,3.2548,3.254840,0.1656079411,1.497798e+01,10014,2256.2,,5,36,20,494,583284,
CKT_0041,Intermediate,5,4,3,1000,4.6500,4.6532,0.0032,PASS,,,4.6524,4.653157,0.6835149530,6.118758e+00,10014,2114.7,,5,36,20,494,583284,
CKT_0042,Intermediate,6,8,2,1000,0.0500,0.0603,0.0103,PASS,,,0.0600,0.060252,0.5811947914,5.520405e+00,12016,2660.9,,5,36,20,496,584458,
CKT_0043,Intermediate,6,8,2,1000,5.6500,7.6841,2.0341,FAIL,,,7.6914,7.684059,0.9905184118,2.486631e+02,12016,2692.5,,5,36,20,496,584458,
CKT_0044,Intermediate,6,8,2,1000,0.0500,0.0798,0.0298,PASS,,,0.0794,0.079753,0.8396394937,1.637673e+01,12016,3131.8,,5,36,20,496,584458,
CKT_0045,Intermediate,6,8,2,1000,3.0000,3.0,0.0000,PASS,,,3.0007,3.000019,0.5821320300,7.994343e+00,12016,2705.8,,5,36,20,496,584458,
CKT_0046,Intermediate,6,10,2,1000,0.0000,0.0352,0.0352,PASS,,,0.0351,0.035229,0.9472557941,3.846241e+01,12016,2823.6,,5,36,20,496,584458,
CKT_0047,Intermediate,6,10,2,1000,3.1500,3.2289,0.0789,FAIL,,,3.2303,3.228945,0.9459326844,5.199590e+01,12016,2784.1,,5,36,20,496,584458,
CKT_0048,Intermediate,6,10,2,1000,1.4500,1.5197,0.0697,FAIL,,,1.5185,1.519656,0.8709857768,1.768763e+01,12016,2782.0,,5,36,20,496,584458,
CKT_0049,Intermediate,6,10,2,1000,0.9500,0.9619,0.0119,PASS,,,0.9619,0.961931,0.7925319376,1.587923e+01,12016,2750.9,,5,36,20,496,584458,
CKT_0050,Intermediate,5,5,3,1000,1.8000,1.782,0.0180,PASS,,,1.7818,1.782017,0.0210584658,2.073341e+00,10014,2281.1,,5,36,20,494,583284,
CKT_0051,Intermediate,5,5,3,1000,2.0000,2.0162,0.0162,PASS,,,2.0156,2.016219,0.1097259652,1.267631e+00,10014,2321.4,,5,36,20,494,583284,
CKT_0052,Intermediate,5,5,3,1000,1.3000,1.4137,0.1137,FAIL,,,1.4134,1.413706,0.9272245735,2.655992e+01,10014,2334.7,,5,36,20,494,583284,
CKT_0053,Intermediate,5,5,3,1000,1.0500,1.2977,0.2477,FAIL,,,1.3016,1.297653,0.9011493400,1.940450e+01,10014,2336.9,,5,36,20,494,583284,
CKT_0054,Intermediate,5,5,3,1000,2.2000,2.1968,0.0032,PASS,,,2.1968,2.196805,0.1148910974,3.271337e+00,10014,2321.3,,5,36,20,494,583284,
CKT_0055,Hard,12,20,5,1000,0.2000,0.2155,0.0155,PASS,,,0.2156,0.215543,0.9674793610,3.367199e+04,24028,5731.7,,5,36,20,508,591506,
CKT_0056,Hard,12,20,4,1000,12.0000,12.0,0.0000,PASS,,,12.0000,12.000000,0.8863952524,6.255259e+02,24028,5681.4,,5,36,20,508,591506,
CKT_0057,Hard,12,20,5,1000,7.5500,7.567,0.0170,PASS,,,7.5675,7.567011,0.5848262762,1.251953e+02,24028,5713.4,,5,36,20,508,591506,
CKT_0058,Hard,12,20,4,1000,3.3000,3.3,0.0000,PASS,,,3.3000,3.300000,0.9953719687,4.949124e+02,24028,5686.6,,5,36,20,508,591506,
CKT_0059,Hard,12,20,5,1000,0.0500,0.066,0.0160,PASS,,,0.0672,0.065961,0.9999178764,3.047667e+04,24028,5516.3,,5,36,20,508,591506,
CKT_0060,Hard,13,18,5,1000,16.5500,17.1311,0.5811,FAIL,,,17.0850,17.131095,0.9917848583,5.221201e+04,26030,6227.3,,5,36,20,510,592682,
CKT_0061,Hard,13,18,3,1000,10.2500,11.4013,1.1513,FAIL,,,11.3941,11.401276,0.9849666088,2.890144e+03,26030,6173.5,,5,36,20,510,592682,
CKT_0062,Hard,16,23,5,1000,0.0000,5.0088,5.0088,FAIL,,,3.8280,5.008774,0.9982197645,2.518269e+03,32036,7632.3,,5,36,20,516,596210,
CKT_0063,Hard,16,23,4,1000,0.0000,0.2298,0.2298,FAIL,,,0.0686,0.229810,0.9998294810,1.175611e+04,32036,9194.8,,5,36,20,516,596210,
CKT_0064,Hard,17,25,3,1000,2.1000,8.9905,6.8905,FAIL,,,5.8617,8.990477,0.9999120457,1.096733e+05,34038,10489.3,,5,36,20,518,597386,
CKT_0065,Hard,11,17,5,1000,9.8500,10.1916,0.3416,FAIL,,,10.1860,10.191640,0.9434374921,7.902148e+01,22026,6667.9,,5,36,20,506,590330,
CKT_0066,Hard,13,21,5,1000,12.4000,12.4153,0.0153,PASS,,,12.4165,12.415310,0.9856604538,2.810360e+02,26030,6981.5,,5,36,20,510,592682,
CKT_0067,Hard,11,17,5,1000,21.2000,21.2617,0.0617,FAIL,,,21.2575,21.261664,0.8542357962,6.038425e+01,22026,5106.2,,5,36,20,506,590330,
CKT_0068,Hard,13,21,5,1000,23.9500,24.0,0.0500,FAIL,,,23.9999,23.999996,0.8631058708,6.217086e+03,26030,6145.4,,5,36,20,510,592682,
CKT_0069,Hard,11,16,4,1000,6.6000,6.7311,0.1311,FAIL,,,6.7340,6.731085,0.9059066848,3.043070e+02,22026,5156.0,,5,36,20,506,590330,
CKT_0070,Hard,7,17,3,1000,0.0000,0.0221,0.0221,PASS,,,0.0219,0.022144,0.6879080184,3.297674e+02,14018,3273.0,,5,36,20,498,585632,
CKT_0071,Hard,8,20,3,1000,9.0000,9.0,0.0000,PASS,,,9.0000,9.000000,0.6768429811,3.282470e+03,16020,3681.5,,5,36,20,500,586806,
CKT_0072,Hard,7,17,5,1000,1.8000,1.8,0.0000,PASS,,,1.8000,1.800000,0.9047892963,2.007131e+01,14018,3281.7,,5,36,20,498,585632,
CKT_0073,Hard,8,20,3,1000,1.8000,1.8238,0.0238,PASS,,,1.8221,1.823836,0.4490798633,6.081701e+01,16020,3665.4,,5,36,20,500,586806,
CKT_0074,Hard,7,17,4,1000,3.3000,3.3,0.0000,PASS,,,3.3000,3.300000,0.0009426584,3.087094e+03,14018,3156.4,,5,36,20,498,585632,
CKT_0075,Hard,10,20,3,1000,0.0000,7.1181,7.1181,FAIL,,,3.2231,7.118135,0.9993784089,1.604830e+04,20024,4544.4,,5,36,20,504,589154,
CKT_0076,Hard,10,20,3,1000,0.0000,0.906,0.9060,FAIL,,,0.9212,0.905985,0.9942252209,4.318415e+02,20024,4507.3,,5,36,20,504,589154,
CKT_0077,Hard,10,20,3,1000,9.0000,9.0,0.0000,PASS,,,9.0000,9.000000,0.9925448158,1.112657e+04,20024,4523.7,,5,36,20,504,589154,
CKT_0078,Hard,10,20,5,1000,7.1000,7.084,0.0160,PASS,,,7.0838,7.083976,0.7410720000,1.068582e+02,20024,4794.4,,5,36,20,504,589154,
CKT_0079,Hard,10,20,5,1000,3.3000,3.3,0.0000,PASS,,,3.3000,3.300000,0.2217763321,1.469473e+01,20024,5895.8,,5,36,20,504,589154,
CKT_0080,Hard,17,30,5,1000,4.9500,4.9311,0.0189,PASS,,,4.9314,4.931136,0.9977843702,8.804268e+03,34038,10715.8,,5,36,20,518,597386,
