d,final_L_out,final_L_layer,best_L_layer,final_argmax_match
4,0.0020471473607227343,0.23605458980095922,0.23605458980095922,0
8,0.00203191642221903,0.49532967583538484,0.4823451958781473,0
12,0.0020471473607227343,0.43326092385372184,0.43326092385372184,0
16,0.0020471473607227343,0.3804558168615342,0.3804558168615342,0
24,0.0020471473607227343,0.44132331267002434,0.24346303472726186,0
32,0.0020471473607227343,0.44132331267002434,0.24346303472726186,0
