mesh,n_dof,craft_build_s,craft_infer_s,max_abs_err_craft_vs_scipy,max_abs_err_craft_vs_dense_inv,status,error
4x4,4,0.21690011024475098,0.042510271072387695,0.45833333333333337,0.45833333333333337,ok,
6x6,16,1.6546437740325928,0.8604662418365479,1.642727272727273,1.6427272727272726,ok,
8x8,36,3.824650764465332,10.553941488265991,1.7763568394002505e-15,8.881784197001252e-16,ok,
10x10,64,37.133432149887085,84.95829343795776,2.6645352591003757e-15,2.6645352591003757e-15,ok,
12x12,100,219.6909737586975,513.0811724662781,8.725928658707325,8.725928658707332,ok,
16x16,196,272.99564242362976,6875.808199882507,16.38990580463921,16.389905804639195,ok,

