mesh,n_dof,cond,min_abs_u_diag,fail_at,status
4x4,4,3.0,3.428571428571429,-1,ok
6x6,16,9.472135954999581,3.2846018789619875,-1,ok
8x8,36,19.19566935808921,3.2473958851838325,-1,ok
10x10,64,32.16343747752639,3.2323864059584606,-1,ok
12x12,100,48.37415007870825,3.2248702108647525,-1,ok
16x16,196,90.52313096777401,3.217897343116738,-1,ok
20x20,324,145.6415786680972,3.214866290449885,-1,ok
24x24,484,213.72926910250618,3.2132746746626966,-1,ok
32x32,900,388.81213449325793,3.2117526765831315,-1,ok

