mesh,n_dof,isrc_nnz,scalar_doolittle_err_vs_scipy,craft_err_vs_scipy,craft_err_vs_doolittle,max_inv_diff_craft_vs_dense,build_s,infer_s
4x4,4,0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.47592902183532715,0.47957682609558105
6x6,16,0,8.881784197001252e-16,4.440892098500626e-16,6.661338147750939e-16,1.1102230246251565e-16,2.7063519954681396,109.88753914833069
8x8,36,0,1.3322676295501878e-15,1.7763568394002505e-15,1.3322676295501878e-15,2.220446049250313e-16,10.61989712715149,365.999550819397
10x10,64,0,4.440892098500626e-15,2.6645352591003757e-15,3.552713678800501e-15,2.220446049250313e-16,37.9806113243103,530.5151875019073
12x12,100,0,7.993605777301127e-15,7.105427357601002e-15,3.552713678800501e-15,3.3306690738754696e-16,113.55550646781921,8073.545092344284

