circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0034,Intermediate,5,3,2,1.5529,1.7737,0.2918,0.0141,14,3,34,23800,4,48,100608,4.65,4.6738,0.0238,PASS,PASS,OK,
CKT_0035,Intermediate,5,3,2,1.5527,1.7631,0.2892,0.013,14,3,34,23800,4,48,100608,1.75,1.757,0.007,PASS,PASS,OK,
CKT_0036,Intermediate,5,3,2,1.555,1.8057,0.3513,0.0146,14,3,34,23800,4,48,100608,0.0,0.0082,0.0082,PASS,PASS,OK,
CKT_0037,Intermediate,5,3,2,1.5636,1.7627,0.2933,0.0128,14,3,34,23800,4,48,100608,2.65,2.6664,0.0164,PASS,PASS,OK,
CKT_0038,Intermediate,5,2,3,1.519,1.7544,0.2926,0.0128,14,3,26,12506,4,48,100608,2.8,2.7845,0.0155,PASS,PASS,OK,
CKT_0039,Intermediate,5,2,3,1.5282,1.8008,0.3016,0.0149,14,3,26,12506,4,48,100608,18.15,18.2062,0.0562,FAIL,PASS,OK,
CKT_0040,Intermediate,5,2,3,1.5158,1.7535,0.3262,0.0127,14,3,26,12506,4,48,100608,3.25,3.2548,0.0048,PASS,PASS,OK,
CKT_0041,Intermediate,5,2,3,1.5218,1.7606,0.2872,0.013,14,3,26,12506,4,48,100608,4.65,4.6532,0.0032,PASS,PASS,OK,
CKT_0042,Intermediate,6,4,2,1.604,1.7962,0.2934,0.0142,16,3,46,43240,4,48,100608,0.05,0.0603,0.0103,PASS,PASS,OK,
CKT_0043,Intermediate,6,4,2,1.5877,1.7534,0.3088,0.0161,16,3,46,43240,4,48,100608,7.7,7.6841,0.0159,PASS,PASS,OK,
CKT_0044,Intermediate,6,4,2,1.5807,1.7711,0.3383,0.0162,16,3,46,43240,4,48,100608,0.1,0.0798,0.0202,PASS,PASS,OK,
CKT_0045,Intermediate,6,4,2,1.589,1.7822,0.2902,0.0149,16,3,46,43240,4,48,100608,3.0,3.0,0.0,PASS,PASS,OK,
CKT_0046,Intermediate,6,4,2,1.5866,1.7481,0.304,0.0161,16,3,46,43240,4,48,100608,0.05,0.0352,0.0148,PASS,PASS,OK,
