case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lattice8x8_rh1_rv20,3,4,10.9806,0.915047,11.0000,10.980560,0.0194,0.18,0.0194,PASS,65,60,5,314,built,535.06,PASS,80.30,4,610,
lattice8x8_rh1_rv20,8,9,10.5572,0.879766,10.5500,10.557194,0.0072,0.07,0.0072,PASS,65,60,5,314,built,1392.91,PASS,98.36,4,754,
lattice8x8_rh1_rv20,10,11,10.4618,0.871818,10.4500,10.461810,0.0118,0.11,0.0118,PASS,65,60,5,314,built,436.48,PASS,53.11,4,610,
lattice8x8_rh1_rv20,11,12,10.3940,0.866167,10.4000,10.394003,0.0060,0.06,0.0060,PASS,65,60,5,314,built,447.31,PASS,58.44,4,754,
lattice8x8_rh1_rv20,15,16,10.1838,0.848652,10.2000,10.183822,0.0162,0.16,0.0162,PASS,65,60,5,314,built,395.98,PASS,24.64,4,754,
lattice8x8_rh1_rv20,18,19,9.8401,0.820009,9.8500,9.840106,0.0099,0.10,0.0099,PASS,65,60,5,314,built,392.83,PASS,23.07,4,610,
lattice8x8_rh1_rv20,20,21,9.8110,0.817581,9.8000,9.810968,0.0110,0.11,0.0110,PASS,65,60,5,314,built,256.16,PASS,53.70,4,610,
lattice8x8_rh1_rv20,21,22,9.7973,0.816438,9.8000,9.797258,0.0027,0.03,0.0027,PASS,65,60,5,314,built,468.11,PASS,14.16,4,754,
lattice8x8_rh1_rv20,24,25,9.2824,0.773533,9.3000,9.282401,0.0176,0.19,0.0176,PASS,65,60,5,314,built,268.69,PASS,52.23,4,610,
lattice8x8_rh1_rv20,26,27,9.2783,0.773189,9.3000,9.278268,0.0217,0.23,0.0217,PASS,65,60,5,314,built,399.07,PASS,32.28,4,614,
lattice8x8_rh1_rv20,27,28,9.2748,0.772900,9.2500,9.274794,0.0248,0.27,0.0248,PASS,65,60,5,314,built,502.76,PASS,41.04,4,754,
lattice8x8_rh1_rv20,28,29,9.2711,0.772588,9.2500,9.271054,0.0211,0.23,0.0211,PASS,65,60,5,314,built,262.34,PASS,40.21,4,610,
lattice8x8_rh1_rv20,32,33,8.7364,0.728037,8.7500,8.736445,0.0136,0.16,0.0136,PASS,65,60,5,314,built,443.88,PASS,8.29,4,754,
lattice8x8_rh1_rv20,33,34,8.7350,0.727918,8.7500,8.735021,0.0150,0.17,0.0150,PASS,65,60,5,314,built,292.44,PASS,21.68,4,610,
lattice8x8_rh1_rv20,34,35,8.7324,0.727699,8.7500,8.732389,0.0176,0.20,0.0176,PASS,65,60,5,314,built,426.96,PASS,21.96,4,754,
lattice8x8_rh1_rv20,36,37,8.7252,0.727100,8.7500,8.725206,0.0248,0.28,0.0248,PASS,65,60,5,314,built,267.73,PASS,20.62,4,610,
lattice8x8_rh1_rv20,39,40,8.7176,0.726467,8.7000,8.717599,0.0176,0.20,0.0176,PASS,65,60,5,314,built,490.45,PASS,54.75,4,754,
lattice8x8_rh1_rv20,41,42,8.2132,0.684437,8.2000,8.213244,0.0132,0.16,0.0132,PASS,65,60,5,314,built,289.83,PASS,10.13,4,610,
lattice8x8_rh1_rv20,45,46,8.1599,0.679991,8.1500,8.159894,0.0099,0.12,0.0099,PASS,65,60,5,314,built,298.34,PASS,52.37,4,610,
lattice8x8_rh1_rv20,50,51,7.7373,0.644771,7.7500,7.737254,0.0127,0.16,0.0127,PASS,65,60,5,314,built,500.76,PASS,48.68,4,754,
lattice8x8_rh1_rv20,51,52,7.6747,0.639561,7.6500,7.674731,0.0247,0.32,0.0247,PASS,65,60,5,314,built,455.38,PASS,29.90,4,754,
lattice8x8_rh1_rv20,54,55,7.4800,0.623330,7.5000,7.479961,0.0200,0.27,0.0200,PASS,65,60,5,314,built,311.37,PASS,51.49,4,610,
lattice8x8_rh1_rv20,55,56,7.4428,0.620234,7.4500,7.442806,0.0072,0.10,0.0072,PASS,65,60,5,314,built,590.60,PASS,8.31,4,754,
lattice8x8_rh1_rv20,57,58,7.7657,0.647142,7.7500,7.765702,0.0157,0.20,0.0157,PASS,65,60,5,314,built,248.92,PASS,22.32,4,610,
lattice8x8_rh1_rv20,59,60,7.2846,0.607054,7.3000,7.284645,0.0154,0.21,0.0154,PASS,65,60,5,314,built,251.17,PASS,17.17,4,610,
