case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
pp_case30,3,3,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,30.49,PASS,2.72,4,274,
pp_case30,4,4,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,15.92,PASS,0.34,4,274,
pp_case30,5,5,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,30.58,PASS,2.85,4,274,
pp_case30,6,6,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,29.01,PASS,3.77,4,274,
pp_case30,7,7,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,12.54,PASS,0.28,4,274,
pp_case30,8,8,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,28.71,PASS,4.90,4,274,
pp_case30,9,9,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,28.06,PASS,3.88,4,274,
pp_case30,10,10,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,25.34,PASS,0.30,4,274,
pp_case30,11,11,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,27.93,PASS,2.03,4,274,
pp_case30,12,12,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,28.46,PASS,3.05,4,274,
pp_case30,14,14,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,25.49,PASS,0.44,4,274,
pp_case30,15,15,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,17.47,PASS,0.34,4,274,
pp_case30,16,16,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,27.84,PASS,2.24,4,274,
pp_case30,17,17,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,28.97,PASS,4.94,4,274,
pp_case30,18,18,12.0000,1.000000,12.0000,11.999997,0.0000,0.00,0.0000,PASS,31,24,7,138,built,44.20,PASS,7.71,4,274,
pp_case30,19,19,12.0000,1.000000,12.0000,11.999997,0.0000,0.00,0.0000,PASS,31,24,7,138,built,43.99,PASS,9.85,4,274,
pp_case30,20,20,12.0000,1.000000,12.0000,11.999998,0.0000,0.00,0.0000,PASS,31,24,7,138,built,44.36,PASS,9.70,4,274,
pp_case30,21,21,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,26.25,PASS,8.11,4,274,
pp_case30,24,24,12.0000,1.000000,12.0000,11.999999,0.0000,0.00,0.0000,PASS,31,24,7,138,built,41.10,PASS,7.68,4,274,
pp_case30,25,25,12.0000,1.000000,12.0000,11.999998,0.0000,0.00,0.0000,PASS,31,24,7,138,built,40.80,PASS,7.56,4,274,
pp_case30,26,26,12.0000,1.000000,12.0000,11.999995,0.0000,0.00,0.0000,PASS,31,24,7,138,built,47.68,PASS,4.77,4,274,
pp_case30,28,28,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,31,24,7,138,built,18.15,PASS,0.30,4,274,
pp_case30,29,29,12.0000,1.000000,12.0000,11.999997,0.0000,0.00,0.0000,PASS,31,24,7,138,built,41.99,PASS,7.11,4,274,
pp_case30,30,30,12.0000,1.000000,12.0000,11.999997,0.0000,0.00,0.0000,PASS,31,24,7,138,built,44.55,PASS,7.25,4,274,
