case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lattice6x6_rh1_rv5,2,3,10.8108,0.900898,10.8000,10.810779,0.0108,0.10,0.0108,PASS,37,32,5,174,built,23.15,PASS,0.61,4,340,
lattice6x6_rh1_rv5,3,4,10.4539,0.871161,10.4500,10.453927,0.0039,0.04,0.0039,PASS,37,32,5,174,built,26.58,PASS,0.57,4,340,
lattice6x6_rh1_rv5,6,7,10.4227,0.868557,10.4000,10.422685,0.0227,0.22,0.0227,PASS,37,32,5,174,built,53.40,PASS,8.27,4,340,
lattice6x6_rh1_rv5,8,9,10.1278,0.843982,10.1500,10.127784,0.0222,0.22,0.0222,PASS,37,32,5,174,built,58.50,PASS,8.47,4,340,
lattice6x6_rh1_rv5,10,11,9.8545,0.821205,9.8500,9.854459,0.0045,0.05,0.0045,PASS,37,32,5,174,built,52.91,PASS,6.89,4,340,
lattice6x6_rh1_rv5,11,12,9.7859,0.815488,9.8000,9.785854,0.0141,0.14,0.0141,PASS,37,32,5,174,built,55.03,PASS,6.99,4,340,
lattice6x6_rh1_rv5,12,13,9.4956,0.791301,9.5000,9.495614,0.0044,0.05,0.0044,PASS,37,32,5,174,built,51.71,PASS,7.41,4,340,
lattice6x6_rh1_rv5,13,14,9.4551,0.787922,9.4500,9.455060,0.0051,0.05,0.0051,PASS,37,32,5,174,built,41.61,PASS,0.65,4,340,
lattice6x6_rh1_rv5,14,15,9.3904,0.782535,9.4000,9.390426,0.0096,0.10,0.0096,PASS,37,32,5,174,built,21.97,PASS,0.49,4,340,
lattice6x6_rh1_rv5,15,16,9.3205,0.776709,9.3000,9.320506,0.0205,0.22,0.0205,PASS,37,32,5,174,built,43.18,PASS,5.00,4,340,
lattice6x6_rh1_rv5,16,17,9.2621,0.771843,9.2500,9.262114,0.0121,0.13,0.0121,PASS,37,32,5,174,built,55.75,PASS,4.51,4,340,
lattice6x6_rh1_rv5,17,18,9.2287,0.769057,9.2500,9.228687,0.0213,0.23,0.0213,PASS,37,32,5,174,built,58.01,PASS,10.18,4,340,
lattice6x6_rh1_rv5,18,19,8.7713,0.730943,8.7500,8.771313,0.0213,0.24,0.0213,PASS,37,32,5,174,built,62.34,PASS,10.33,4,340,
lattice6x6_rh1_rv5,19,20,8.7379,0.728157,8.7500,8.737886,0.0121,0.14,0.0121,PASS,37,32,5,174,built,58.44,PASS,8.99,4,340,
lattice6x6_rh1_rv5,20,21,8.6795,0.723291,8.7000,8.679494,0.0205,0.24,0.0205,PASS,37,32,5,174,built,49.63,PASS,0.82,4,340,
lattice6x6_rh1_rv5,23,24,8.5044,0.708699,8.5000,8.504386,0.0044,0.05,0.0044,PASS,37,32,5,174,built,27.57,PASS,0.54,4,340,
lattice6x6_rh1_rv5,24,25,8.2141,0.684512,8.2000,8.214146,0.0141,0.17,0.0141,PASS,37,32,5,174,built,34.15,PASS,0.50,4,340,
lattice6x6_rh1_rv5,25,26,8.1455,0.678795,8.1500,8.145541,0.0045,0.05,0.0045,PASS,37,32,5,174,built,22.35,PASS,0.59,4,340,
lattice6x6_rh1_rv5,26,27,8.0262,0.668850,8.0500,8.026196,0.0238,0.30,0.0238,PASS,37,32,5,174,built,52.85,PASS,4.48,4,340,
lattice6x6_rh1_rv5,27,28,7.8722,0.656018,7.8500,7.872216,0.0222,0.28,0.0222,PASS,37,32,5,174,built,64.06,PASS,7.17,4,340,
lattice6x6_rh1_rv5,28,29,7.7074,0.642280,7.7000,7.707364,0.0074,0.10,0.0074,PASS,37,32,5,174,built,53.85,PASS,5.59,4,340,
lattice6x6_rh1_rv5,29,30,7.5773,0.631443,7.6000,7.577315,0.0227,0.30,0.0227,PASS,37,32,5,174,built,54.70,PASS,4.98,4,340,
lattice6x6_rh1_rv5,31,32,7.8069,0.650575,7.8000,7.806901,0.0069,0.09,0.0069,PASS,37,32,5,174,built,53.66,PASS,4.69,4,340,
lattice6x6_rh1_rv5,33,34,7.1892,0.599102,7.2000,7.189221,0.0108,0.15,0.0108,PASS,37,32,5,174,built,49.52,PASS,0.75,4,340,
lattice6x6_rh1_rv5,34,35,6.6958,0.557981,6.7000,6.695770,0.0042,0.06,0.0042,PASS,37,32,5,174,built,26.49,PASS,0.52,4,340,
