case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lattice8x8_rh1_rv1,3,4,9.9416,0.828465,9.9500,9.941576,0.0084,0.08,0.0084,PASS,65,60,5,314,built,824.19,PASS,28.08,4,754,
lattice8x8_rh1_rv1,8,9,10.8752,0.906264,10.9000,10.875164,0.0248,0.23,0.0248,PASS,65,60,5,314,built,366.95,PASS,17.48,4,610,
lattice8x8_rh1_rv1,10,11,10.0768,0.839736,10.1000,10.076837,0.0232,0.23,0.0232,PASS,65,60,5,314,built,242.05,PASS,20.58,4,610,
lattice8x8_rh1_rv1,11,12,9.7849,0.815406,9.8000,9.784868,0.0151,0.15,0.0151,PASS,65,60,5,314,built,545.90,PASS,42.97,4,754,
lattice8x8_rh1_rv1,15,16,9.5570,0.796416,9.5500,9.556993,0.0070,0.07,0.0070,PASS,65,60,5,314,built,455.25,PASS,29.37,4,754,
lattice8x8_rh1_rv1,18,19,9.7439,0.811988,9.7500,9.743850,0.0061,0.06,0.0061,PASS,65,60,5,314,built,343.68,PASS,17.08,4,754,
lattice8x8_rh1_rv1,20,21,9.3615,0.780121,9.3500,9.361455,0.0115,0.12,0.0115,PASS,65,60,5,314,built,223.15,PASS,8.05,4,610,
lattice8x8_rh1_rv1,21,22,9.2480,0.770663,9.2500,9.247950,0.0020,0.02,0.0020,PASS,65,60,5,314,built,222.24,PASS,19.64,4,610,
lattice8x8_rh1_rv1,24,25,9.6332,0.802769,9.6500,9.633231,0.0168,0.17,0.0168,PASS,65,60,5,314,built,295.63,PASS,16.27,4,610,
lattice8x8_rh1_rv1,26,27,9.3916,0.782633,9.4000,9.391600,0.0084,0.09,0.0084,PASS,65,60,5,314,built,268.74,PASS,16.51,4,610,
lattice8x8_rh1_rv1,27,28,9.2304,0.769203,9.2500,9.230438,0.0196,0.21,0.0196,PASS,65,60,5,314,built,202.65,PASS,9.10,4,610,
lattice8x8_rh1_rv1,28,29,9.0768,0.756401,9.1000,9.076813,0.0232,0.26,0.0232,PASS,65,60,5,314,built,214.09,PASS,12.66,4,610,
lattice8x8_rh1_rv1,32,33,9.2001,0.766671,9.2000,9.200051,0.0001,0.00,0.0001,PASS,65,60,5,314,built,195.87,PASS,15.54,4,610,
lattice8x8_rh1_rv1,33,34,9.1500,0.762498,9.1500,9.149981,0.0000,0.00,0.0000,PASS,65,60,5,314,built,268.46,PASS,19.25,4,610,
lattice8x8_rh1_rv1,34,35,9.0542,0.754517,9.0500,9.054204,0.0042,0.05,0.0042,PASS,65,60,5,314,built,279.19,PASS,18.02,4,610,
lattice8x8_rh1_rv1,36,37,8.7696,0.730797,8.7500,8.769562,0.0196,0.22,0.0196,PASS,65,60,5,314,built,309.54,PASS,26.37,4,610,
lattice8x8_rh1_rv1,39,40,8.3668,0.697231,8.3500,8.366769,0.0168,0.20,0.0168,PASS,65,60,5,314,built,293.62,PASS,34.92,4,610,
lattice8x8_rh1_rv1,41,42,8.8078,0.733980,8.8000,8.807763,0.0078,0.09,0.0078,PASS,65,60,5,314,built,372.99,PASS,32.70,4,610,
lattice8x8_rh1_rv1,45,46,8.2561,0.688012,8.2500,8.256150,0.0061,0.07,0.0061,PASS,65,60,5,314,built,297.06,PASS,30.54,4,610,
lattice8x8_rh1_rv1,50,51,8.5077,0.708974,8.5000,8.507687,0.0077,0.09,0.0077,PASS,65,60,5,314,built,349.39,PASS,15.25,4,610,
lattice8x8_rh1_rv1,51,52,8.4091,0.700758,8.4000,8.409094,0.0091,0.11,0.0091,PASS,65,60,5,314,built,389.10,PASS,34.61,4,610,
lattice8x8_rh1_rv1,54,55,7.5362,0.628020,7.5500,7.536244,0.0138,0.18,0.0138,PASS,65,60,5,314,built,357.09,PASS,33.94,4,610,
lattice8x8_rh1_rv1,55,56,7.1248,0.593736,7.1000,7.124836,0.0248,0.35,0.0248,PASS,65,60,5,314,built,345.03,PASS,34.12,4,610,
lattice8x8_rh1_rv1,57,58,8.2899,0.690822,8.3000,8.289868,0.0101,0.12,0.0101,PASS,65,60,5,314,built,402.70,PASS,31.86,4,610,
lattice8x8_rh1_rv1,59,60,8.2750,0.689584,8.3000,8.275014,0.0250,0.30,0.0250,PASS,65,60,5,314,built,399.68,PASS,35.47,4,610,
