case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lattice4x4_rh1_rv5,1,2,11.0885,0.924041,11.1000,11.088496,0.0115,0.10,0.0115,PASS,17,12,5,74,built,7.29,PASS,0.11,4,148,
lattice4x4_rh1_rv5,2,3,10.4513,0.870944,10.4500,10.451327,0.0013,0.01,0.0013,PASS,17,12,5,74,built,4.51,PASS,0.10,4,148,
lattice4x4_rh1_rv5,4,5,9.8850,0.823746,9.9000,9.884956,0.0150,0.15,0.0150,PASS,17,12,5,74,built,6.30,PASS,0.10,4,148,
lattice4x4_rh1_rv5,5,6,9.7168,0.809735,9.7000,9.716814,0.0168,0.17,0.0168,PASS,17,12,5,74,built,6.51,PASS,0.26,4,148,
lattice4x4_rh1_rv5,6,7,9.5221,0.793510,9.5000,9.522124,0.0221,0.23,0.0221,PASS,17,12,5,74,built,5.31,PASS,0.11,4,148,
lattice4x4_rh1_rv5,7,8,9.3894,0.782448,9.4000,9.389381,0.0106,0.11,0.0106,PASS,17,12,5,74,built,6.33,PASS,0.09,4,148,
lattice4x4_rh1_rv5,8,9,8.6106,0.717552,8.6000,8.610619,0.0106,0.12,0.0106,PASS,17,12,5,74,built,6.30,PASS,0.11,4,148,
lattice4x4_rh1_rv5,9,10,8.4779,0.706490,8.5000,8.477876,0.0221,0.26,0.0221,PASS,17,12,5,74,built,5.51,PASS,0.09,4,148,
lattice4x4_rh1_rv5,10,11,8.2832,0.690265,8.3000,8.283186,0.0168,0.20,0.0168,PASS,17,12,5,74,built,4.51,PASS,0.09,4,148,
lattice4x4_rh1_rv5,11,12,8.1150,0.676254,8.1000,8.115044,0.0150,0.19,0.0150,PASS,17,12,5,74,built,4.24,PASS,0.11,4,148,
lattice4x4_rh1_rv5,13,14,7.5487,0.629056,7.5500,7.548673,0.0013,0.02,0.0013,PASS,17,12,5,74,built,7.69,PASS,0.12,4,148,
lattice4x4_rh1_rv5,14,15,6.9115,0.575959,6.9000,6.911504,0.0115,0.17,0.0115,PASS,17,12,5,74,built,4.84,PASS,0.10,4,148,
