case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lattice4x4_rh1_rv1,1,2,10.5385,0.878205,10.5500,10.538462,0.0115,0.11,0.0115,PASS,17,12,5,74,built,17.57,PASS,2.22,4,148,
lattice4x4_rh1_rv1,2,3,9.9231,0.826923,9.9000,9.923077,0.0231,0.23,0.0231,PASS,17,12,5,74,built,18.02,PASS,1.50,4,148,
lattice4x4_rh1_rv1,4,5,10.2308,0.852564,10.2500,10.230769,0.0192,0.19,0.0192,PASS,17,12,5,74,built,19.12,PASS,2.43,4,148,
lattice4x4_rh1_rv1,5,6,9.6923,0.807692,9.7000,9.692308,0.0077,0.08,0.0077,PASS,17,12,5,74,built,18.14,PASS,2.54,4,148,
lattice4x4_rh1_rv1,6,7,9.2308,0.769231,9.2500,9.230769,0.0192,0.21,0.0192,PASS,17,12,5,74,built,20.32,PASS,2.62,4,148,
lattice4x4_rh1_rv1,7,8,9.0000,0.750000,9.0000,9.000000,0.0000,0.00,0.0000,PASS,17,12,5,74,built,16.28,PASS,2.37,4,148,
lattice4x4_rh1_rv1,8,9,9.0000,0.750000,9.0000,9.000000,0.0000,0.00,0.0000,PASS,17,12,5,74,built,15.31,PASS,1.46,4,148,
lattice4x4_rh1_rv1,9,10,8.7692,0.730769,8.7500,8.769231,0.0192,0.22,0.0192,PASS,17,12,5,74,built,16.21,PASS,1.50,4,148,
lattice4x4_rh1_rv1,10,11,8.3077,0.692308,8.3000,8.307692,0.0077,0.09,0.0077,PASS,17,12,5,74,built,15.31,PASS,2.32,4,148,
lattice4x4_rh1_rv1,11,12,7.7692,0.647436,7.7500,7.769231,0.0192,0.25,0.0192,PASS,17,12,5,74,built,16.56,PASS,1.39,4,148,
lattice4x4_rh1_rv1,13,14,8.0769,0.673077,8.1000,8.076923,0.0231,0.29,0.0231,PASS,17,12,5,74,built,11.24,PASS,0.11,4,148,
lattice4x4_rh1_rv1,14,15,7.4615,0.621795,7.4500,7.461538,0.0115,0.15,0.0115,PASS,17,12,5,74,built,7.52,PASS,0.11,4,148,
