case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
pp_case57,7,7,11.9363,0.994691,11.9500,11.936289,0.0137,0.11,0.0137,PASS,58,50,8,270,built,249.62,PASS,28.98,4,528,
pp_case57,11,11,11.9145,0.992877,11.9000,11.914523,0.0145,0.12,0.0145,PASS,58,50,8,270,built,296.25,PASS,27.01,4,528,
pp_case57,14,14,12.0617,1.005138,12.0500,12.061652,0.0117,0.10,0.0117,PASS,58,50,8,270,built,251.40,PASS,28.10,4,528,
pp_case57,16,16,12.2652,1.022098,12.3000,12.265173,0.0348,0.28,0.0348,PASS,58,50,8,270,built,300.03,PASS,28.41,4,528,
pp_case57,21,21,12.0106,1.000882,12.0000,12.010587,0.0106,0.09,0.0106,PASS,58,50,8,270,built,248.64,PASS,29.78,4,528,
pp_case57,24,24,11.9947,0.999561,12.0000,11.994738,0.0053,0.04,0.0053,PASS,58,50,8,270,built,247.16,PASS,25.11,4,528,
pp_case57,25,25,11.9947,0.999562,12.0000,11.994739,0.0053,0.04,0.0053,PASS,58,50,8,270,built,269.97,PASS,32.72,4,528,
pp_case57,26,26,11.9947,0.999560,12.0000,11.994716,0.0053,0.04,0.0053,PASS,58,50,8,270,built,406.49,PASS,31.86,4,646,
pp_case57,27,27,11.9588,0.996568,11.9500,11.958818,0.0088,0.07,0.0088,PASS,58,50,8,270,built,234.52,PASS,29.48,4,528,
pp_case57,30,30,11.9964,0.999699,12.0000,11.996394,0.0036,0.03,0.0036,PASS,58,50,8,270,built,220.06,PASS,28.71,4,528,
pp_case57,32,32,12.0066,1.000552,12.0000,12.006624,0.0066,0.06,0.0066,PASS,58,50,8,270,built,287.00,PASS,17.92,4,646,
pp_case57,33,33,12.0066,1.000552,12.0000,12.006623,0.0066,0.06,0.0066,PASS,58,50,8,270,built,160.03,PASS,17.09,4,528,
pp_case57,34,34,12.0066,1.000552,12.0000,12.006625,0.0066,0.06,0.0066,PASS,58,50,8,270,built,104.80,PASS,1.88,4,528,
pp_case57,37,37,12.0161,1.001340,12.0000,12.016075,0.0161,0.13,0.0161,PASS,58,50,8,270,built,82.19,PASS,2.22,4,528,
pp_case57,38,38,12.0401,1.003341,12.0500,12.040088,0.0099,0.08,0.0099,PASS,58,50,8,270,built,193.81,PASS,14.24,4,528,
pp_case57,39,39,12.0141,1.001174,12.0000,12.014083,0.0141,0.12,0.0141,PASS,58,50,8,270,built,165.38,PASS,15.42,4,528,
pp_case57,40,40,11.9996,0.999967,12.0000,11.999602,0.0004,0.00,0.0004,PASS,58,50,8,270,built,115.20,PASS,1.93,4,528,
pp_case57,43,43,11.9145,0.992878,11.9000,11.914535,0.0145,0.12,0.0145,PASS,58,50,8,270,built,119.63,PASS,15.34,4,528,
pp_case57,45,45,12.0952,1.007935,12.1000,12.095222,0.0048,0.04,0.0048,PASS,58,50,8,270,built,169.89,PASS,14.87,4,528,
pp_case57,47,47,12.0539,1.004489,12.0500,12.053873,0.0039,0.03,0.0039,PASS,58,50,8,270,built,158.48,PASS,2.32,4,528,
pp_case57,49,49,12.0401,1.003344,12.0500,12.040129,0.0099,0.08,0.0099,PASS,58,50,8,270,built,253.34,PASS,6.98,4,646,
pp_case57,50,50,12.0264,1.002200,12.0500,12.026396,0.0236,0.20,0.0236,PASS,58,50,8,270,built,120.63,PASS,2.02,4,528,
pp_case57,52,52,11.8926,0.991047,11.9000,11.892563,0.0074,0.06,0.0074,PASS,58,50,8,270,built,142.46,PASS,13.26,4,528,
pp_case57,53,53,11.8695,0.989122,11.8500,11.869463,0.0195,0.16,0.0195,PASS,58,50,8,270,built,131.00,PASS,2.26,4,528,
pp_case57,56,56,11.9996,0.999965,12.0000,11.999575,0.0004,0.00,0.0004,PASS,58,50,8,270,built,105.09,PASS,13.50,4,528,
