case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
bcspwr01,2,3,11.5693,0.964107,11.5500,11.569280,0.0193,0.17,0.0193,PASS,40,36,4,192,built,37.62,PASS,0.86,4,374,
bcspwr01,3,4,11.6103,0.967524,11.6000,11.610287,0.0103,0.09,0.0103,PASS,40,36,4,192,built,64.46,PASS,0.74,4,374,
bcspwr01,4,5,11.6905,0.974205,11.7000,11.690458,0.0095,0.08,0.0095,PASS,40,36,4,192,built,42.21,PASS,0.84,4,374,
bcspwr01,5,6,11.4536,0.954470,11.4500,11.453636,0.0036,0.03,0.0036,PASS,40,36,4,192,built,24.45,PASS,0.84,4,374,
bcspwr01,6,7,11.4393,0.953271,11.4500,11.439253,0.0107,0.09,0.0107,PASS,40,36,4,192,built,31.86,PASS,0.70,4,374,
bcspwr01,7,8,11.4611,0.955090,11.4500,11.461085,0.0111,0.10,0.0111,PASS,40,36,4,192,built,25.95,PASS,0.71,4,374,
bcspwr01,8,9,11.1067,0.925559,11.1000,11.106702,0.0067,0.06,0.0067,PASS,40,36,4,192,built,38.02,PASS,0.70,4,374,
bcspwr01,9,10,11.1020,0.925164,11.1000,11.101974,0.0020,0.02,0.0020,PASS,40,36,4,192,built,57.64,PASS,1.25,4,374,
bcspwr01,10,11,11.1043,0.925362,11.1000,11.104343,0.0043,0.04,0.0043,PASS,40,36,4,192,built,66.56,PASS,1.25,4,374,
bcspwr01,11,12,10.7645,0.897041,10.7500,10.764497,0.0145,0.13,0.0145,PASS,40,36,4,192,built,66.25,PASS,1.31,4,374,
bcspwr01,12,13,10.7576,0.896466,10.7500,10.757597,0.0076,0.07,0.0076,PASS,40,36,4,192,built,67.35,PASS,1.06,4,374,
bcspwr01,13,14,10.7500,0.895831,10.7500,10.749971,0.0000,0.00,0.0000,PASS,40,36,4,192,built,59.71,PASS,1.80,4,374,
bcspwr01,14,15,10.4292,0.869099,10.4500,10.429191,0.0208,0.20,0.0208,PASS,40,36,4,192,built,65.70,PASS,1.06,4,374,
bcspwr01,16,17,10.3880,0.865664,10.4000,10.387973,0.0120,0.12,0.0120,PASS,40,36,4,192,built,68.84,PASS,1.40,4,374,
bcspwr01,17,18,10.1091,0.842428,10.1000,10.109130,0.0091,0.09,0.0091,PASS,40,36,4,192,built,74.39,PASS,0.72,4,374,
bcspwr01,20,21,9.8172,0.818098,9.8000,9.817173,0.0172,0.17,0.0172,PASS,40,36,4,192,built,37.55,PASS,0.71,4,374,
bcspwr01,22,23,9.7739,0.814491,9.7500,9.773888,0.0239,0.24,0.0239,PASS,40,36,4,192,built,28.70,PASS,0.68,4,374,
bcspwr01,25,26,9.5206,0.793386,9.5000,9.520634,0.0206,0.22,0.0206,PASS,40,36,4,192,built,36.29,PASS,0.81,4,374,
bcspwr01,26,27,9.2749,0.772906,9.2500,9.274874,0.0249,0.27,0.0249,PASS,40,36,4,192,built,30.71,PASS,0.71,4,374,
bcspwr01,27,28,9.2651,0.772091,9.2500,9.265097,0.0151,0.16,0.0151,PASS,40,36,4,192,built,26.77,PASS,0.72,4,374,
bcspwr01,28,29,9.2560,0.771332,9.2500,9.255985,0.0060,0.06,0.0060,PASS,40,36,4,192,built,28.02,PASS,0.81,4,374,
bcspwr01,29,30,9.0182,0.751514,9.0000,9.018166,0.0182,0.20,0.0182,PASS,40,36,4,192,built,39.59,PASS,0.95,4,374,
bcspwr01,30,31,8.9975,0.749792,9.0000,8.997500,0.0025,0.03,0.0025,PASS,40,36,4,192,built,29.64,PASS,0.70,4,374,
bcspwr01,31,32,8.9822,0.748519,9.0000,8.982223,0.0178,0.20,0.0178,PASS,40,36,4,192,built,25.36,PASS,0.74,4,374,
bcspwr01,32,33,8.7821,0.731844,8.8000,8.782123,0.0179,0.20,0.0179,PASS,40,36,4,192,built,22.47,PASS,0.70,4,374,
bcspwr01,33,34,8.7245,0.727043,8.7000,8.724515,0.0245,0.28,0.0245,PASS,40,36,4,192,built,24.52,PASS,0.81,4,374,
bcspwr01,34,35,8.6932,0.724432,8.7000,8.693184,0.0068,0.08,0.0068,PASS,40,36,4,192,built,33.60,PASS,0.76,4,374,
bcspwr01,35,36,8.6037,0.716974,8.6000,8.603689,0.0037,0.04,0.0037,PASS,40,36,4,192,built,24.28,PASS,0.76,4,374,
bcspwr01,36,37,8.4253,0.702105,8.4500,8.425254,0.0247,0.29,0.0247,PASS,40,36,4,192,built,28.09,PASS,0.70,4,374,
bcspwr01,37,38,8.3728,0.697734,8.3500,8.372813,0.0228,0.27,0.0228,PASS,40,36,4,192,built,36.55,PASS,0.69,4,374,
